Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
51,0,-0.001537,0.016881,0.055249,511.775665,-1308.982056,301.754852,-0.141050,0.009953,-0.024857,470.733032,-1291.607300,606.110474,-0.127820,-0.604857,-0.795326,208.342224,-1177.298828,84.124771,1.241162,-0.402077,-1.619302,215.886551,-962.887756,221.608551,0.041737,-0.023386,0.131482,334.038483,-1325.866699,317.140686,-0.097256,0.720595,0.638704,771.965637,-1180.872437,58.011261,1.340900,0.785348,1.534397,784.195496,-948.867737,178.731094,0.090550,0.031144,-0.017305,658.917847,-1309.459839,289.891235,-0.055542,-0.023192,0.097653,473.989960,-1280.722534,-49.717674
52,0,-0.001438,0.017019,0.055188,511.611389,-1308.889160,301.795898,-0.143895,0.010909,-0.030733,469.721741,-1291.440674,605.973450,-0.121701,-0.601449,-0.792097,208.161301,-1176.547974,84.399261,1.261535,-0.404790,-1.615554,217.057159,-964.828796,225.752991,0.028711,-0.028233,0.116074,334.200043,-1324.260742,316.513733,-0.093119,0.717493,0.641612,771.834351,-1180.209839,58.386574,1.347520,0.778013,1.567919,784.035095,-950.204895,183.086853,0.089953,0.031844,-0.016953,658.785583,-1309.375854,289.914337,-0.055541,-0.023539,0.097297,473.861816,-1280.603027,-49.687866
53,0,-0.001107,0.017273,0.054664,511.477539,-1308.809570,301.835510,-0.139029,0.007167,-0.046606,468.793427,-1290.778442,605.744324,-0.103493,-0.596702,-0.801780,208.118958,-1176.143188,85.212074,1.254182,-0.444417,-1.650095,217.750275,-966.863342,229.720825,0.030541,-0.028529,0.114109,334.074554,-1324.137085,316.620087,-0.085120,0.713578,0.639979,771.814148,-1179.400879,58.769531,1.359875,0.755460,1.574754,783.678162,-951.717468,187.112625,0.090741,0.031458,-0.017141,658.592896,-1309.364136,289.986511,-0.055061,-0.023103,0.097290,473.728302,-1280.464111,-49.648853
54,0,-0.001604,0.017186,0.055135,511.243164,-1308.686401,301.836121,-0.138314,0.007893,-0.056024,467.836639,-1290.407471,605.642822,-0.097890,-0.592876,-0.797662,207.969467,-1175.489624,85.426971,1.284878,-0.433992,-1.653277,218.809616,-969.035767,233.268539,0.041597,-0.023186,0.128379,333.586060,-1325.243652,317.269043,-0.078957,0.709817,0.638173,771.738098,-1178.617676,59.051884,1.369979,0.741423,1.585634,783.259460,-953.175903,190.863922,0.090751,0.031143,-0.016953,658.373413,-1309.307373,290.044769,-0.054557,-0.023005,0.097126,473.573792,-1280.340332,-49.602501
55,0,-0.000651,0.017237,0.054360,511.082886,-1308.656982,301.915497,-0.136445,0.007537,-0.062672,466.941803,-1290.005005,605.587830,-0.090969,-0.590424,-0.799489,207.948608,-1174.957642,85.718399,1.249826,-0.406866,-1.691529,219.797318,-970.794800,237.052750,0.042480,-0.022472,0.126920,333.483826,-1325.090942,317.342834,-0.075407,0.708733,0.638740,771.648438,-1178.105347,59.400318,1.381187,0.729909,1.587457,782.773560,-954.627197,194.397690,0.091225,0.030776,-0.016984,658.173096,-1309.300903,290.126160,-0.054701,-0.023279,0.095923,473.452820,-1280.172852,-49.593407
56,0,0.000605,0.017130,0.054506,510.880005,-1308.636475,302.009735,-0.135926,0.007600,-0.070185,466.032990,-1289.574951,605.487427,-0.083996,-0.587251,-0.800143,207.963806,-1174.445923,85.959770,1.261774,-0.392559,-1.704188,220.672333,-972.873840,240.285568,0.044711,-0.022321,0.126941,333.328308,-1325.066406,317.439880,-0.068697,0.707024,0.639440,771.552673,-1177.610107,59.805191,1.403361,0.710822,1.592563,782.487061,-956.151184,197.861511,0.090525,0.030888,-0.016761,657.995178,-1309.169556,290.136353,-0.055882,-0.022887,0.096765,473.253845,-1280.037231,-49.606445
57,0,0.000645,0.017316,0.054327,510.720490,-1308.534424,302.034027,-0.142599,0.019678,-0.055401,464.990143,-1289.797119,605.722168,-0.080388,-0.584587,-0.797333,207.930252,-1173.938843,86.103020,1.335785,-0.340453,-1.681319,221.325150,-974.683777,243.753067,0.044473,-0.023005,0.125499,333.147949,-1324.862061,317.445190,-0.061003,0.702750,0.639814,771.429749,-1177.127319,60.116245,1.414002,0.699123,1.605166,782.150818,-957.678284,201.103561,0.088828,0.037568,-0.029301,658.938477,-1309.128906,290.004242,-0.055115,-0.022738,0.095771,473.116913,-1279.901001,-49.553684
58,0,0.001256,0.017310,0.053838,510.583588,-1308.449097,302.081573,-0.142547,0.020870,-0.059553,464.211212,-1289.447754,605.713501,-0.070011,-0.582353,-0.800592,207.998734,-1173.616089,86.460594,1.344854,-0.332008,-1.690422,222.207993,-976.821289,246.760117,0.045617,-0.023093,0.124417,333.017487,-1324.750122,317.519409,-0.059368,0.699850,0.637747,771.350464,-1176.652344,60.262539,1.422235,0.694234,1.613856,781.792969,-959.202332,204.080353,0.091106,0.029798,-0.018553,657.660706,-1309.002441,290.237213,-0.055278,-0.023127,0.095820,472.948425,-1279.780518,-49.534126
59,0,0.000738,0.017504,0.053543,510.451843,-1308.308350,302.079865,-0.130545,0.004101,-0.098071,464.018555,-1288.456177,605.482849,-0.056623,-0.579303,-0.808290,208.109772,-1173.451294,86.981651,1.358094,-0.317079,-1.694883,223.100937,-978.859375,249.514496,0.044879,-0.023168,0.124390,332.848511,-1324.532104,317.527618,-0.054970,0.698959,0.637716,771.236145,-1176.276367,60.499374,1.427854,0.681791,1.626997,781.373108,-960.842346,206.847443,0.091568,0.030259,-0.017673,657.481567,-1308.925659,290.295349,-0.054785,-0.022729,0.094932,472.822876,-1279.652832,-49.486622
