Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
14,0,-0.005921,-0.004024,0.020413,491.601166,-1318.922241,319.308929,-0.037078,0.047386,-0.026780,451.078949,-1301.719727,602.617249,0.071312,0.027983,-0.029881,49.062450,-1255.051147,311.590881,-0.030784,-0.064118,0.008102,-206.534073,-1210.999023,364.740417,-0.022645,0.005467,0.041698,319.233154,-1319.374634,333.035675,-0.096505,0.042055,-0.026940,914.989075,-1240.856934,306.281433,-0.063353,0.032920,0.068945,1189.835693,-1195.594116,374.114716,0.021787,-0.027082,0.019157,633.939697,-1314.462646,311.880371,-0.077742,-0.028574,0.055852,461.199463,-1305.659058,-39.405949
15,0,-0.003975,-0.004380,0.021789,491.471680,-1319.459106,319.325531,-0.039101,0.047245,-0.024807,451.176147,-1302.346436,602.649292,0.077811,0.028639,-0.039726,48.797073,-1252.636230,311.951752,-0.029930,-0.065556,-0.002743,-206.258621,-1206.041626,365.381195,-0.020699,0.004716,0.039417,319.230621,-1320.014404,332.982483,-0.098200,0.040933,-0.019558,914.981995,-1238.813599,306.360046,-0.073802,0.019858,0.072296,1189.258545,-1191.375122,374.153656,0.021848,-0.025781,0.019590,633.884399,-1314.832520,311.752502,-0.076622,-0.028774,0.054785,461.247833,-1305.895020,-39.402683
16,0,-0.003436,-0.004955,0.021695,491.439301,-1319.948975,319.270294,-0.038234,0.047449,-0.023035,451.270996,-1302.973877,602.756592,0.083197,0.028550,-0.050717,48.626427,-1250.067261,312.249573,-0.010093,-0.060552,-0.017679,-205.984711,-1200.994873,365.990753,-0.019742,0.002589,0.038618,319.085510,-1320.649658,332.817413,-0.101212,0.039838,-0.009076,914.872192,-1236.705322,306.429535,-0.070737,0.035216,0.086828,1189.136963,-1187.159302,374.633270,0.020942,-0.026798,0.017607,633.834900,-1315.121338,311.593933,-0.077120,-0.028665,0.054813,461.277191,-1306.120361,-39.499554
17,0,-0.002720,-0.005210,0.022743,491.370514,-1320.434937,319.207581,-0.038019,0.047590,-0.021408,451.389557,-1303.665039,602.922729,0.088335,0.027706,-0.062540,48.551510,-1247.404053,312.557037,-0.008412,-0.056916,-0.028575,-205.411469,-1195.669067,366.721741,-0.018031,0.002817,0.041641,318.966125,-1321.444092,332.715149,-0.111428,0.039591,-0.022281,915.492249,-1234.202637,305.777802,-0.069650,0.032568,0.095243,1188.631104,-1182.649414,374.828949,0.021998,-0.025630,0.017259,633.881897,-1315.582031,311.561279,-0.075715,-0.029513,0.053143,461.371124,-1306.392578,-39.532860
18,0,-0.002111,-0.004889,0.024338,491.344940,-1320.940674,319.150940,-0.042486,0.044135,-0.021267,451.618622,-1304.409058,603.041321,0.087997,0.024970,-0.071161,48.363049,-1244.621460,312.860138,-0.009871,-0.053296,-0.040969,-204.814377,-1190.052368,367.595917,-0.017981,0.001731,0.041585,318.908234,-1322.098145,332.547333,-0.102009,0.035917,0.010522,914.738159,-1232.165161,306.666016,-0.069612,0.030490,0.101923,1187.911377,-1177.876343,374.991730,0.023671,-0.024330,0.016414,634.021301,-1316.151367,311.514069,-0.075127,-0.029391,0.054069,461.406708,-1306.695679,-39.604515
19,0,-0.000333,-0.005698,0.025306,491.288391,-1321.503906,319.160309,-0.041620,0.046608,-0.017230,451.629669,-1305.154907,603.353943,0.086470,0.026899,-0.076105,48.212433,-1241.896973,313.365753,-0.007006,-0.052378,-0.050248,-204.199890,-1184.164551,368.557159,-0.061113,0.013844,0.055982,318.892639,-1320.681885,331.126068,-0.103674,0.036368,0.021190,914.554810,-1229.843018,306.726379,-0.072001,0.036934,0.113580,1187.372559,-1172.965820,375.268402,0.023794,-0.023400,0.021928,633.776855,-1316.571045,311.384338,-0.074763,-0.028896,0.054910,461.450592,-1307.006714,-39.663895
20,0,-0.001429,-0.006685,0.026604,491.189941,-1321.904541,318.982574,-0.042534,0.045274,-0.013740,451.746643,-1305.953247,603.593201,0.083903,0.026522,-0.092771,48.088345,-1238.835571,313.783630,-0.002025,-0.031211,-0.073871,-203.345978,-1178.392334,369.629120,-0.014768,-0.000304,0.043221,318.757355,-1323.541870,332.251038,-0.112595,0.035220,0.006029,915.197876,-1227.088257,306.151154,-0.071945,0.029064,0.117997,1186.659424,-1167.905273,375.660034,0.040443,-0.030976,-0.006718,635.048279,-1318.604004,312.546814,-0.073814,-0.028980,0.055352,461.488525,-1307.314697,-39.736691
21,0,-0.000210,-0.007238,0.025759,491.205902,-1322.431274,318.961853,-0.049802,0.039035,-0.014243,452.030914,-1306.841675,603.636963,0.081226,0.030735,-0.102953,48.026192,-1235.799561,314.350647,-0.012963,-0.050271,-0.073212,-202.554749,-1172.015381,370.557465,-0.009935,-0.001262,0.045600,318.607727,-1324.517578,332.231628,-0.107926,0.032100,0.040885,914.221741,-1224.922119,306.716553,-0.090058,0.026544,0.137100,1185.498169,-1162.541626,375.605469,0.022569,-0.023837,0.016825,634.016479,-1317.515259,311.232880,-0.072195,-0.029669,0.055827,461.518433,-1307.657227,-39.774364
22,0,-0.000330,-0.007913,0.026978,491.087311,-1322.909058,318.833832,-0.047894,0.039788,-0.012204,452.110168,-1307.613159,603.860962,0.078455,0.033161,-0.115120,48.036682,-1232.717651,314.944458,-0.003452,-0.024666,-0.097942,-201.527634,-1165.686523,371.752777,-0.009607,-0.000617,0.045247,318.638916,-1325.181763,332.089233,-0.110448,0.032779,0.052655,913.937195,-1222.395020,306.763977,-0.081846,0.048596,0.152930,1184.926636,-1157.145752,376.148956,0.023670,-0.022927,0.012801,634.241577,-1318.108398,311.215454,-0.071470,-0.029641,0.055441,461.590668,-1307.986084,-39.836899
