Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.003769,0.018730,0.009225,507.852142,-1305.501953,309.955841,-0.141325,0.003993,0.065086,488.976257,-1283.861816,601.444275,-0.079042,-0.020475,0.066205,70.855385,-1270.482300,280.032471,-0.097707,-0.039915,-0.027730,-188.282288,-1223.957031,321.937469,-0.000862,0.014376,0.047851,334.293732,-1307.206665,327.457062,-2.119677,1.331243,2.136558,937.680481,-1314.671387,316.536469,-0.084778,0.008014,0.300773,1187.941895,-1138.871338,330.498962,-0.073302,-0.016101,0.020361,649.656738,-1298.332520,294.042358,-0.019378,-0.016520,0.059593,470.242157,-1281.268433,-47.096134
2,0,-0.001466,0.018830,0.008951,507.543396,-1305.309814,310.035309,-0.107568,0.006137,0.064497,488.181793,-1282.442139,601.664795,-0.044523,-0.034856,0.039890,69.674255,-1270.499878,279.062622,-0.097570,-0.039419,-0.032885,-188.422668,-1222.696289,321.923004,-0.002654,0.014901,0.048990,333.921539,-1306.810303,327.342102,-2.111388,1.350374,2.122703,936.851746,-1313.914917,316.504578,-0.090268,0.015405,0.309717,1187.130859,-1137.610352,330.401886,0.063318,0.004563,0.015761,650.063354,-1304.835815,299.995697,-0.018365,-0.016739,0.059526,469.892395,-1280.879639,-47.082668
3,0,-0.000737,0.019005,0.008822,507.251129,-1305.041626,310.033813,-0.107972,0.006283,0.066016,487.982941,-1282.046753,601.763977,-0.042234,-0.033681,0.035004,69.365509,-1270.163696,278.587250,-0.097471,-0.040372,-0.034785,-188.462479,-1221.327271,321.974213,-0.005378,0.015634,0.049433,333.635651,-1306.364624,327.208466,-2.116978,1.355267,2.121000,936.633728,-1313.326538,316.579620,-0.087873,0.018267,0.312500,1186.336060,-1136.319092,330.378265,0.062343,0.004532,0.015035,649.783386,-1304.429443,299.902710,-0.018382,-0.015989,0.060160,469.572418,-1280.487793,-47.087711
4,0,0.000252,0.019195,0.009204,506.955383,-1304.769043,310.039062,-0.108420,0.006874,0.067453,487.783875,-1281.674927,601.900635,-0.049821,-0.041067,0.041491,68.686356,-1269.902710,277.754883,-0.097975,-0.038922,-0.042163,-188.465393,-1219.851074,322.067871,-0.002804,0.014883,0.049572,333.310120,-1306.237671,327.223297,-0.209765,0.063571,-0.023798,930.685547,-1247.909424,259.398773,-0.095613,-0.010687,0.320162,1185.244141,-1134.875122,330.357574,0.062492,0.003641,0.017530,649.307983,-1304.064331,299.873993,-0.019173,-0.016141,0.060930,469.272491,-1280.130615,-47.132847
5,0,0.000578,0.018594,0.009187,506.643188,-1304.468506,310.005737,-0.109720,0.007235,0.067964,487.623016,-1281.294922,602.022156,-0.045711,-0.034574,0.034871,68.713936,-1269.782837,277.539886,-0.096019,-0.036189,-0.047378,-188.407257,-1218.205444,322.228241,-0.003446,0.013693,0.048174,333.010986,-1305.919312,327.114288,-0.213074,0.064316,-0.025066,930.495117,-1247.578247,259.185455,-0.093585,-0.010961,0.322106,1184.371216,-1133.350586,330.389191,0.064362,0.004040,0.016929,649.076904,-1303.789429,299.889404,-0.020065,-0.016104,0.061451,468.994293,-1279.767822,-47.197159
6,0,0.000558,0.018761,0.009135,506.404510,-1304.141235,309.961761,-0.110382,0.007648,0.069116,487.474487,-1280.957764,602.132874,-0.048582,-0.035092,0.031696,68.459656,-1269.517822,276.990295,-0.083694,-0.009032,-0.065958,-188.209915,-1216.523315,322.626312,0.000764,0.011932,0.047931,332.649780,-1305.894653,327.170807,-0.217021,0.064203,-0.024395,930.219177,-1247.299194,258.908783,-0.085509,-0.022423,0.322509,1183.551758,-1131.629883,330.727356,0.064989,0.003598,0.015616,648.864441,-1303.468750,299.882050,-0.021047,-0.015890,0.062926,468.709320,-1279.434570,-47.266548
7,0,0.001966,0.019106,0.009816,506.176544,-1303.937256,310.018494,-0.109987,0.008217,0.069563,487.314941,-1280.617065,602.239685,-0.051649,-0.035200,0.030206,68.147392,-1269.325928,276.511688,-0.096482,-0.026483,-0.063279,-188.087555,-1214.222046,322.775696,0.005315,0.011497,0.047110,332.423645,-1305.927124,327.274597,-0.219962,0.061507,-0.023124,930.002136,-1247.030640,258.663666,-0.085929,-0.008176,0.334637,1182.408691,-1129.979980,330.346161,0.064177,0.003799,0.015772,648.652710,-1303.028076,299.816772,-0.020232,-0.016509,0.062224,468.520844,-1279.122925,-47.262924
8,0,0.002966,0.018988,0.010759,505.929047,-1303.722168,310.034119,-0.111171,0.008598,0.070333,487.146393,-1280.292114,602.324585,-0.057959,-0.037005,0.029981,67.784943,-1269.159302,276.050995,-0.083548,0.006785,-0.083820,-187.786301,-1212.141357,323.320648,0.005497,0.011318,0.048148,332.160309,-1305.765259,327.211395,-0.219877,0.060439,-0.022592,929.816772,-1246.691040,258.541718,-0.079317,-0.020378,0.339267,1181.575195,-1128.114014,330.771973,0.064860,0.004131,0.017614,648.365051,-1302.662231,299.841492,-0.020661,-0.016812,0.063148,468.271179,-1278.826294,-47.303280
9,0,0.002597,0.018601,0.011303,505.679779,-1303.448608,309.963776,-0.111931,0.008803,0.071880,486.986328,-1280.030151,602.398682,-0.064642,-0.035342,0.026955,67.561699,-1268.991699,275.697418,-0.100523,-0.005601,-0.097667,-187.339264,-1209.677368,323.576080,0.005468,0.011178,0.049544,331.893280,-1305.645020,327.135193,-0.217196,0.060097,-0.024960,929.682495,-1246.222290,258.513763,-0.081819,-0.013346,0.348175,1180.319092,-1126.169800,330.552124,0.063969,0.004130,0.015729,648.251221,-1302.290649,299.782684,-0.020356,-0.016932,0.063694,468.073517,-1278.524414,-47.335186
10,0,0.003687,0.018717,0.012066,505.463593,-1303.272095,309.974915,-0.111782,0.009537,0.073017,486.830933,-1279.770508,602.481750,-0.070504,-0.032988,0.023876,67.295830,-1268.801636,275.329651,-0.105057,-0.002506,-0.108208,-186.957260,-1206.901611,324.092346,0.004642,0.011308,0.049976,331.684601,-1305.479248,327.024078,-0.219716,0.057973,-0.019107,929.323303,-1245.924072,258.390869,-0.088848,-0.006505,0.360621,1179.734253,-1123.854980,331.461182,0.063720,0.004156,0.018226,647.935242,-1301.913696,299.719208,-0.020584,-0.017480,0.064723,467.873444,-1278.248779,-47.376137
