Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.003868656535415912,0.018771998322498294,0.008933333373715026,507.92845168271776,-1305.561665389848,309.9779513720046,-0.141394342820044,0.00399741073208291,0.06461723025187717,489.04489946313333,-1283.9459757789625,601.4193109082678,-0.07894917234020152,-0.020613740462734974,0.0665855665921612,70.88044162123875,-1270.5362025251886,280.35526979766877,-0.09965355597876624,-0.04403374648006559,-0.021610600748089223,-188.51496065671589,-1224.8658032978497,321.6616998529503,-0.0012733916495998488,0.014400610893246114,0.0477030010189918,334.36104463689276,-1307.2109740484934,327.47308941370824,-2.118360320727197,1.3316063727575749,2.135668656682636,937.732695553299,-1314.867581939778,316.58799405594124,-0.0863892448585496,0.009741956490338967,0.29983180907324225,1188.2807622461075,-1139.7022261323916,330.52657248555533,-0.0735011077447874,-0.016074029543965827,0.020309777878379107,649.7225457459107,-1298.4177731179648,294.05655370608696,-0.019483449477413532,-0.016523879903950354,0.059414259251135366,470.3159979465962,-1281.368311456899,-47.07863153686821
2,0,-0.0032653716881957235,0.01877495027364946,0.009034252608075282,507.7537068629972,-1305.4019844471034,309.9854816816299,-0.1376669940258174,0.004491776942670602,0.06511431826930852,488.8640722977998,-1283.5870087525295,601.5018157479238,-0.075761702138482,-0.022263756433463063,0.06256403270963756,70.57334417104563,-1270.4333843853371,280.0110239506731,-0.10000141811135506,-0.04223841686499036,-0.025430192227230027,-188.53151352714642,-1223.9408355405692,321.7387955422363,-0.0010053366443282961,0.014190542305181329,0.04781571359317066,334.16831398873865,-1307.058713387043,327.44003740787036,-1.924482475431917,1.2027025292359679,1.915555035547933,936.9287616819777,-1307.9678463174437,310.7215559642107,-0.08689185941050126,0.008527749367374285,0.3032982981522918,1187.7695087581378,-1138.8583945116268,330.5240566009354,-0.056779849197358644,-0.013609700440928775,0.019894826003336655,649.6251746539573,-1299.0051505271406,294.76632321047236,-0.019530047150189796,-0.01654758140244759,0.05973747324241729,470.1378419753433,-1281.1466695257527,-47.093629364969985
3,0,-0.00266397090880572,0.018776397891335832,0.009147539378839631,507.5776497642025,-1305.2412334802802,309.9922550342899,-0.13399895872814108,0.004983745484627049,0.06562756118501964,488.6830834268659,-1283.2279554675251,601.5845145394267,-0.07260487795510959,-0.023878482893545865,0.05859324547645643,70.26847395066265,-1270.3306600896283,279.66020345389336,-0.10030835533196493,-0.040323835515976764,-0.029391215269931603,-188.54435385526446,-1222.9989325568647,321.82420692204545,-0.0007188181290212919,0.013978428693540993,0.04793071500640674,333.9747752116944,-1306.907918126724,327.40694375841025,-1.7327311064343234,1.075196011947703,1.697867285235348,936.13067850929,-1301.1363912941604,304.91733471433605,-0.08734956896295626,0.007301261114769154,0.3067368469541823,1187.2553506910967,-1137.9996850236685,330.518830542188,-0.04028815428850496,-0.011180295881494082,0.019490074210572462,649.5260191830371,-1299.579592903537,295.4656292415736,-0.01957114533819214,-0.016572305959756613,0.06006644973063438,469.95870570375246,-1280.9232568696837,-47.1090430803054
4,0,-0.0020689685511768962,0.01877513409582798,0.009277771204221926,507.40024884872156,-1305.0793851268165,309.99780444285176,-0.13044483128866224,0.0054697884724082815,0.06616109719036399,488.5026237806206,-1282.8710259198583,601.6670974139088,-0.0695604203808295,-0.02542791761117578,0.05470346550162563,69.96781187716357,-1270.2273019871118,279.30164331364045,-0.10055605146003095,-0.0382381350480592,-0.03357326956428741,-188.5481007989677,-1222.0259805174878,321.92232203436015,-0.00040615299171949473,0.013763196513073658,0.048049126694334164,333.7805706828397,-1306.7598869367912,327.3738175960513,-1.5451922742207096,0.9504455201877757,1.4849759229883113,935.3453609589176,-1294.4433779096835,299.23650398097305,-0.08773573538288013,0.0060675907349854435,0.31017982200261773,1186.7336995813046,-1137.1148297203129,330.51219203166914,-0.02425429987488545,-0.008819909443346253,0.019104992203729226,649.4241642421405,-1300.1301084917372,296.14434077949153,-0.01960542873782374,-0.016599147968085114,0.06040231074937325,469.77881803527566,-1280.6980649480497,-47.12507070526276
5,0,-0.001484638633472575,0.018769960880041212,0.009429292741216498,507.2214202107937,-1304.916394098503,310.0016627535534,-0.12705523275092784,0.005946401644824583,0.06671891226077349,488.32325771849264,-1282.5183203534796,601.7492740905486,-0.0667085369932187,-0.026883871552332624,0.05092037359825387,69.67316417422424,-1270.1224441965055,278.9339492748399,-0.1007250921476917,-0.03592874920750505,-0.03805922423896478,-188.5369280003064,-1221.006796127397,322.03761737157936,-6.018654805731763e-05,0.013543926956158449,0.04817225420826499,333.58578018521,-1306.6158364011824,327.3406359695335,-1.3638633957387463,0.8297486826172084,1.2791479719720487,934.5794112040304,-1287.9557051560216,293.7374915542128,-0.08802375021507335,0.004829197410900628,0.3136641571013144,1186.19925169496,-1136.1915977625943,330.5055979091155,-0.00889119554839726,-0.006560377267288904,0.018748479877422505,649.318694874031,-1300.6464145685159,296.79297986144695,-0.019631620803561196,-0.016629123896602146,0.060746070584745585,469.59834436018116,-1280.4710346334803,-47.14191441244523
6,0,-0.0009149335775076209,0.01875972551974036,0.009606036442832028,507.04104623193535,-1304.7522187556335,310.0033759303408,-0.1238751989006096,0.0064101500425643885,0.06730463021344243,488.1454118207974,-1282.1717988574335,601.8307736329062,-0.06412569983750882,-0.028220832635560522,0.047264115439925494,69.3861218789649,-1270.0151023358803,278.5555589893981,-0.10079546122587782,-0.03334421678375496,-0.0429325736817654,-188.5046621590183,-1219.9255402439894,322.1745247469638,0.00032536429042635763,0.01331993428707925,0.04830155599956026,333.39043562568025,-1306.4768728066904,327.30734407793926,-1.1906082239778069,0.7143127495810185,1.0824954814108985,933.8389868031247,-1281.7355172714551,288.47467173479964,-0.08818786262063565,0.0035857039173368644,0.3172305386696711,1185.646098843686,-1135.2171329366038,330.5006446371488,0.005610146087653524,-0.004430298688547427,0.018428572029712112,649.208737782271,-1301.119278850616,297.40301275140047,-0.01964851426885592,-0.016663130000095918,0.06109854275742493,469.41739744034135,-1280.2420822343704,-47.15977241157216
7,0,-0.0003634181163727019,0.018743354928923196,0.009811354348222091,506.858994740855,-1304.5868413924704,310.0025160193954,-0.12094288537500877,0.006857709722778645,0.06792131456655429,487.9693704531007,-1281.8332588969017,601.9113434255283,-0.061882730561318565,-0.029416684001230486,0.043748583045419995,69.10802817013179,-1269.9041951055933,278.16481511562716,-0.10074713258932054,-0.030435945709554716,-0.04827476312986845,-188.4448889979121,-1218.7661413988835,322.3372976368123,0.0007556128304800888,0.013090824718946905,0.04843860135883284,333.19453622302177,-1306.3439678928191,327.27385706655264,-1.027113675850659,0.605226495946971,0.8969263023546509,933.129677012188,-1275.8387831984153,283.49711322736556,-0.08820401710362816,0.0023338067425677485,0.3209225496667325,1185.0678485490514,-1134.1783051468444,330.4990479740397,0.01908592688460678,-0.002454235179140977,0.018152188954521312,649.0934990172912,-1301.5408027563033,297.9670889929885,-0.019655006554974923,-0.01670190783698316,0.061460256345911554,469.236049931538,-1280.0111261993777,-47.178831131385074
8,0,0.00016678023100519005,0.01871988696586296,0.01004786779059697,506.6751376441281,-1304.420286103453,309.9986933976151,-0.1182886377643472,0.0072859055835931864,0.06857129056512477,487.79527815562153,-1281.5043208839434,601.9907475831963,-0.06004325808147111,-0.03045324925617033,0.0403809598207313,68.83995432477538,-1269.7885671017807,277.7600479870784,-0.10056074825154329,-0.027159865129243035,-0.054162582113026665,-188.35106359721414,-1217.512713890877,322.5298815534292,0.0012342638061853925,0.012856531862572036,0.048585019084887375,332.9980631951143,-1306.2179393463239,327.24006337171323,-0.8748502689381523,0.503434499061185,0.7240991324044627,932.4563918701374,-1270.314006668278,278.84743394596273,-0.08805067920857473,0.001067311072817596,0.32478580271557134,1184.4577490010176,-1133.0620635018288,330.5026221517271,0.0314034818139741,-0.0006521152222452449,0.01792494235264148,648.9722961950616,-1301.9046361565086,298.4792199969918,-0.019650138659763845,-0.016746019578374648,0.061831385747899974,469.0543478106004,-1279.7781131468087,-47.19925800738652
9,0,0.0006730040074884754,0.018688497621249155,0.010317341276809245,506.4893680433628,-1304.2526333006083,309.9915679543534,-0.11593444531137664,0.007691746069232435,0.0692559947575473,487.6231483724149,-1281.1864211569518,602.0687650426489,-0.058662581528438354,-0.03131664931059304,0.03716153677838963,68.58268449094243,-1269.6670123296565,277.3396648169698,-0.1002183681754282,-0.023477899258329857,-0.06066572012835167,-188.21662191535495,-1216.1499556854862,322.75579289763374,0.0017634440919901111,0.012617326728343925,0.04874243948669034,332.8009930425104,-1306.0994365400388,327.20582945869796,-0.7350383525201866,0.40971524867121184,0.5653853143478972,931.8232696117154,-1265.2011394986207,274.56082726213566,-0.087709629150819,-0.00022269040946265817,0.32886709280325166,1183.808814384279,-1131.8557788267863,330.5132587134378,0.04246372618401141,0.0009611441244428528,0.017751002289550847,648.8445840845799,-1302.2061187426434,298.9348937452075,-0.019633135195350752,-0.016795834454561755,0.0622116971051323,468.87232394376474,-1279.543041907458,-47.22119512379091
10,0,0.0011530829341887695,0.018648523158283876,0.010620586021198754,506.30161495615425,-1304.0840301992594,309.98085889543916,-0.11389377233410847,0.008072455853518946,0.06997585846675156,487.4528776122577,-1280.8808112231582,602.1451875935514,-0.05778694344391591,-0.031997466140304166,0.034083791504214214,68.33670892840804,-1269.5382979496185,276.9022418365914,-0.09970427225825405,-0.01935920653100882,-0.06784457140697893,-188.03509019680624,-1214.6635125250286,323.01801046640304,0.002343608267719241,0.012373802302730467,0.04891243280286015,332.6033086591172,-1305.9889317400766,327.1710056725544,-0.6086222619693012,0.32466451113584427,0.42183980114376124,931.2336076247763,-1260.530768380594,270.6643228830499,-0.08716670438989878,-0.0015474817916064523,0.3332135981069849,1183.1139464111563,-1130.547564127792,330.53290498401935,0.05220215358046649,0.002375802065883549,0.01763302746818523,648.7099728399935,-1302.4423477899693,299.3311262994406,-0.01960344264034434,-0.016851526927504856,0.06260051369438352,468.69001104790044,-1279.3059843867024,-47.244753890633916
11,0,0.0016053369800765856,0.018599476445863263,0.010957397540112573,506.11185491252576,-1303.9146968742548,309.9663528958575,-0.11217174230110816,0.008425507572606877,0.07073023030660198,487.2842638442604,-1280.5885618419327,602.2198180843288,-0.057453195290047866,-0.032490717894317005,0.03113470883774355,68.10222497032733,-1269.401187854045,276.44661537183316,-0.09900578959873942,-0.014781140702291843,-0.07574836433095469,-187.8001889146696,-1213.0402964893824,323.31888334278676,0.0029735194904345875,0.01212683469678877,0.04909644704824896,332.40500769814577,-1305.8867167586902,327.1354328358067,-0.4962539735111489,0.24868500119324768,0.29418306607471806,930.6898205050871,-1256.3236262306152,267.1763292544654,-0.08641247206608356,-0.002920229737913666,0.3378721535691007,1182.3660483258584,-1129.1265627425735,330.56354196893653,0.060588480714920095,0.003587259062621893,0.017572157816315093,648.5682385582118,-1302.6121758382874,299.66645401221245,-0.01956076261774105,-0.01691308641289921,0.06299670161235804,468.50745336582514,-1279.0671022485192,-47.270010872999364
