Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
85,0,-0.075201,0.068125,-0.572636,392.741669,-1793.069214,302.171326,0.328554,0.004109,-0.572141,395.848663,-1805.865723,567.266235,-0.472548,-0.836000,-1.440053,213.806763,-1566.615967,100.504570,-0.766764,1.567245,3.143825,368.047150,-1404.668457,117.947098,-0.101919,0.045141,-0.477735,241.195190,-1697.997681,315.241577,0.381306,1.131098,0.606385,646.648254,-1856.419189,75.708023,1.345756,0.848199,1.314065,713.497192,-1641.020386,100.915070,-0.107722,0.077090,-0.664415,516.918396,-1881.334229,285.788055,0.030583,-0.025453,-0.563986,366.333252,-1767.740967,-60.222763
86,0,-0.112998,0.064982,-0.608633,394.713501,-1792.065063,299.412628,0.322570,-0.004530,-0.584815,396.041534,-1807.025635,567.500427,-0.477873,-0.835138,-1.453280,217.492966,-1564.930176,99.380470,-0.759058,1.572324,3.129942,374.182404,-1405.389282,117.193733,-0.103541,0.046103,-0.486987,242.386597,-1696.727417,314.680054,0.387103,1.127779,0.597642,646.350830,-1861.349487,76.504066,1.345768,0.834494,1.301461,716.060608,-1646.684326,101.041962,-0.110938,0.073391,-0.681013,515.797913,-1883.718506,286.098755,0.037515,-0.032727,-0.584401,367.556732,-1768.942139,-60.069740
87,0,-0.127575,0.065493,-0.613042,394.389465,-1791.891479,298.356384,0.316219,-0.007179,-0.583576,396.169098,-1807.797852,567.482666,-0.483364,-0.835489,-1.467279,221.414368,-1563.230347,98.359177,-0.735111,1.582907,3.107773,380.311249,-1406.286011,116.642197,-0.071011,0.027324,-0.506191,242.465225,-1696.807495,315.142548,0.395805,1.110191,0.580047,645.895325,-1865.720459,76.587570,1.341848,0.828506,1.296108,718.695801,-1652.567017,101.148872,-0.079612,0.067328,-0.690409,513.665344,-1887.161987,288.174713,0.039549,-0.037652,-0.604422,368.761688,-1770.160767,-60.110874
88,0,-0.122711,0.059192,-0.627038,394.046326,-1792.822876,298.670807,0.313827,-0.010914,-0.586511,396.424744,-1808.759644,567.553589,-0.489990,-0.836352,-1.484620,225.657242,-1561.516479,97.233772,-0.764924,1.537488,3.092592,387.002594,-1407.446899,115.405777,-0.099216,0.036463,-0.516581,244.748199,-1694.215820,313.692139,0.401044,1.101328,0.563570,645.307556,-1870.831543,77.099762,1.342492,0.809880,1.276070,721.299133,-1658.923584,101.254822,-0.078733,0.065251,-0.713714,512.656189,-1890.184204,288.652069,0.032673,-0.046961,-0.636356,370.041321,-1771.654785,-60.492760
89,0,-0.122843,0.058259,-0.643482,394.249908,-1793.694946,298.658325,0.311210,-0.014663,-0.590283,396.718536,-1809.803101,567.620667,-0.496176,-0.833359,-1.500769,229.919724,-1559.799438,96.099937,-0.820067,1.508543,3.087839,393.824738,-1408.776123,114.635872,-0.108387,0.039036,-0.528730,246.464279,-1692.350830,312.784668,0.406697,1.098361,0.548972,644.765930,-1876.338501,78.090752,1.332768,0.806009,1.271517,724.034668,-1665.411255,101.460365,-0.083728,0.064545,-0.717974,511.051239,-1892.036133,288.796112,0.025650,-0.046733,-0.647686,371.397369,-1772.544800,-60.952965
90,0,-0.122600,0.056362,-0.661559,394.493530,-1794.587280,298.673096,0.308703,-0.017729,-0.592706,397.090820,-1810.913452,567.647888,-0.504522,-0.832831,-1.516456,234.388901,-1558.202271,95.003311,-0.737992,1.544094,3.055118,401.089203,-1409.946411,113.901543,-0.107810,0.037978,-0.543475,248.129761,-1690.884644,312.261993,0.419353,1.084568,0.530722,644.111084,-1881.252197,78.539528,1.333491,0.795344,1.257846,726.687012,-1672.283813,101.657860,-0.081513,0.060685,-0.734813,509.515472,-1894.837646,289.387177,0.031438,-0.055701,-0.673510,372.643738,-1774.182617,-60.726131
91,0,-0.098578,0.041961,-0.699353,394.296265,-1797.542969,300.591217,0.305762,-0.022035,-0.595803,397.525146,-1812.060669,567.611694,-0.511707,-0.836033,-1.532310,239.283859,-1556.535889,94.028313,-0.734840,1.548570,3.034925,408.414673,-1411.476685,113.085434,-0.090702,0.027944,-0.561505,249.276260,-1689.964233,312.119141,0.423554,1.078668,0.513772,643.385559,-1887.194336,79.459900,1.331073,0.782915,1.244913,729.414612,-1679.474487,101.959129,-0.075334,0.059577,-0.771108,508.434937,-1899.143677,290.328705,0.026141,-0.055663,-0.688168,373.843597,-1775.449585,-61.007919
92,0,-0.103371,0.042381,-0.711589,394.439697,-1797.898560,300.175934,0.306956,-0.027282,-0.604408,398.077667,-1813.389404,567.556946,-0.522503,-0.834013,-1.550120,244.105835,-1554.973022,92.762642,-0.723830,1.541667,3.020413,416.044312,-1413.245117,112.094803,-0.095258,0.025215,-0.578543,251.267044,-1688.175537,311.513489,0.422116,1.072949,0.488617,642.369873,-1893.190430,80.486946,1.329827,0.770162,1.231539,732.097351,-1686.885498,102.242622,-0.077081,0.055950,-0.786528,506.728058,-1901.647339,290.698975,0.024760,-0.056639,-0.701671,374.989502,-1776.740601,-61.212967
93,0,-0.126038,0.050315,-0.736047,395.709808,-1798.177979,298.429504,0.310769,-0.032373,-0.596907,398.518646,-1814.219849,567.514099,-0.530524,-0.833634,-1.565928,249.216522,-1553.354248,91.542084,-0.677204,1.574586,2.966406,423.429413,-1414.853882,111.242485,-0.097823,0.024936,-0.593584,253.325485,-1686.337280,310.699890,0.432031,1.051781,0.464408,641.640381,-1898.556274,80.478195,1.330008,0.757889,1.216600,734.746216,-1694.551514,102.579353,-0.075617,0.052837,-0.784151,504.390106,-1903.420898,291.071045,0.024049,-0.058148,-0.716803,376.154266,-1778.113647,-61.382107
