Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
98,0,-0.101458,-0.030439,0.150237,498.317627,-2211.040771,304.147888,0.243289,0.010709,-0.199214,449.381531,-2210.362793,573.295044,-0.026386,-0.317615,-1.555553,235.108429,-1952.257812,163.108170,-0.953729,1.703374,3.102425,368.169861,-1757.070312,214.346527,-0.030080,-0.055952,0.264840,321.851074,-2250.330811,310.933746,-0.289269,0.344737,1.595853,812.385986,-1954.192749,233.820374,-0.091159,1.379113,2.311725,648.207397,-1737.796753,220.431595,-0.024609,-0.020140,0.048224,650.876770,-2197.208252,302.658630,-0.102870,-0.032831,0.127899,481.116882,-2223.999268,-57.596497
99,0,-0.092514,-0.032206,0.151812,497.359894,-2211.388428,304.285980,0.233234,0.010222,-0.200101,448.844696,-2209.797363,574.586975,-0.001899,-0.316506,-1.516819,230.663757,-1954.285034,163.659378,-0.978321,1.608086,3.122431,359.296173,-1755.358154,217.680252,-0.022232,-0.057253,0.262950,320.994843,-2250.964111,311.036346,-0.202656,0.286582,1.492084,821.607300,-1958.973145,241.006866,-0.038284,1.330816,2.268336,678.198486,-1728.947754,244.197662,-0.027286,-0.004819,0.049786,650.689148,-2196.435059,302.315613,-0.102558,-0.032244,0.127904,479.967651,-2223.451660,-57.740219
100,0,-0.086019,-0.041599,0.152570,496.299316,-2211.222656,304.056702,0.224875,0.008843,-0.197748,448.371094,-2209.261963,575.734985,0.000599,-0.342670,-1.496767,225.551224,-1958.047241,165.545227,-0.993490,1.546095,3.126244,350.183685,-1754.174316,222.137253,-0.021890,-0.055575,0.262050,320.591522,-2251.263672,311.035919,-0.126108,0.301759,1.428627,829.668762,-1967.271240,250.358109,0.229899,1.281986,2.161554,708.777100,-1722.686523,271.680786,-0.026378,-0.001642,0.053761,649.983765,-2195.253906,301.945953,-0.100837,-0.031653,0.129999,478.849884,-2222.918457,-57.836845
101,0,-0.090435,-0.033527,0.170418,495.704773,-2210.623291,303.847900,0.217937,0.005270,-0.196675,448.011017,-2208.627930,576.626465,0.021116,-0.357816,-1.466784,221.422638,-1960.406494,167.558060,-0.945702,1.618245,3.100696,340.156250,-1753.095337,227.122589,-0.021810,-0.051824,0.264483,320.667969,-2251.600342,311.323029,-0.008840,0.256515,1.302552,837.480469,-1971.924805,258.013062,0.117626,1.196689,2.172520,736.763367,-1718.316162,302.820953,-0.022586,-0.016548,0.049556,648.868225,-2193.326416,301.083984,-0.099981,-0.031065,0.133490,477.876831,-2222.333496,-57.897591
102,0,-0.091292,-0.029162,0.184442,495.444763,-2209.782471,303.777283,0.223241,0.002280,-0.198016,448.117340,-2208.011719,577.735718,0.034907,-0.364926,-1.454554,217.249146,-1963.373413,169.740555,-1.036277,1.499577,3.190789,331.833618,-1754.378418,230.495331,-0.023930,-0.046734,0.271975,321.074982,-2251.843750,311.863800,0.065870,0.222303,1.233966,846.699036,-1979.360107,265.788147,0.125513,1.088342,2.173740,766.086792,-1720.223145,334.198914,-0.020803,-0.016325,0.051711,648.748962,-2191.178711,300.607941,-0.098487,-0.029558,0.141029,477.050964,-2221.627441,-57.766907
103,0,-0.084227,-0.026597,0.191549,495.848877,-2209.005127,304.289948,0.222210,-0.001653,-0.195416,448.010864,-2207.282471,578.146973,0.041233,-0.325299,-1.433518,211.731644,-1964.890869,171.032318,-1.043822,1.520868,3.191658,322.929688,-1755.416626,233.077606,-0.028365,-0.042695,0.280875,321.744019,-2251.953369,312.502197,0.149740,0.182394,1.171627,855.370911,-1986.747192,272.612885,0.267356,0.970985,2.139710,798.025024,-1728.593018,363.052216,-0.018799,-0.013764,0.051959,649.137207,-2188.797852,300.171875,-0.096921,-0.029387,0.147873,476.472443,-2220.742920,-57.487972
104,0,-0.078615,-0.022673,0.200407,496.450195,-2207.943604,304.830872,0.223887,-0.005149,-0.191017,448.068115,-2206.454590,578.179749,0.041506,-0.298890,-1.412229,206.965088,-1966.667725,172.518677,-1.089198,1.509477,3.206543,314.642151,-1756.971436,234.512024,-0.039728,-0.037508,0.292260,322.627014,-2251.522949,313.119049,0.241260,0.147436,1.114364,862.794189,-1994.792114,278.918396,0.464218,0.905115,2.066637,830.429260,-1741.841431,388.877228,-0.019216,0.002622,0.059779,650.301880,-2186.381348,300.241913,-0.097158,-0.028409,0.159302,476.032013,-2219.697754,-57.133137
105,0,-0.071701,-0.018814,0.208693,497.278625,-2206.860596,305.469727,0.227740,-0.009084,-0.187645,448.346588,-2205.452148,577.790039,0.033191,-0.277197,-1.392416,202.323792,-1968.883423,173.980270,-1.143624,1.513189,3.211266,306.618073,-1758.364258,235.457260,-0.040054,-0.032878,0.298832,323.986542,-2251.607178,314.052765,0.338760,0.107205,1.054312,869.361084,-2001.929077,283.978394,0.657640,0.834894,2.008165,860.385437,-1758.184448,413.182159,-0.018458,0.005759,0.062381,651.093201,-2183.705322,300.032410,-0.097418,-0.029168,0.170619,475.772186,-2218.492432,-56.695679
106,0,-0.070910,-0.014275,0.220605,498.033508,-2205.422363,305.674622,0.235633,-0.013546,-0.180355,448.828918,-2204.370361,577.121948,-0.001628,-0.278413,-1.379962,197.845505,-1972.755371,175.680389,-1.145535,1.516152,3.228033,299.338226,-1759.555664,236.156693,-0.043439,-0.028027,0.313683,325.121338,-2251.451416,314.841553,0.437720,0.069275,0.995026,874.791565,-2008.712524,288.020630,0.860254,0.763119,1.960058,887.952148,-1778.356323,437.024506,-0.013432,-0.011681,0.055247,651.159546,-2180.753662,299.244537,-0.099549,-0.027759,0.182484,475.671997,-2217.049316,-56.334835
107,0,-0.065129,-0.011353,0.229304,498.972412,-2204.144287,306.131805,0.226875,-0.012050,-0.170232,449.063690,-2203.125488,576.046204,-0.024186,-0.269692,-1.364813,193.804840,-1975.759033,177.005783,-1.153077,1.493574,3.256781,292.907715,-1760.603394,236.568481,-0.040201,-0.025615,0.321900,326.460785,-2251.493896,315.772247,0.598937,0.012455,0.917537,878.171570,-2010.673096,291.626617,1.000152,0.689806,1.955505,912.073792,-1800.709473,461.154266,-0.012040,-0.011842,0.057250,651.961731,-2177.930908,298.847839,-0.099718,-0.027680,0.195050,475.645691,-2215.559326,-55.896702
108,0,-0.055773,-0.007562,0.235846,500.095062,-2203.058594,306.640717,0.234366,-0.013913,-0.165341,449.871735,-2201.856689,575.534363,-0.014315,-0.274424,-1.350322,191.271790,-1977.871338,179.573181,-1.150921,1.460165,3.303176,287.179688,-1761.606689,236.782898,-0.049775,-0.021158,0.332991,327.671631,-2250.772705,316.088989,0.694038,-0.003130,0.871297,880.440002,-2016.588867,293.693451,1.133958,0.582113,1.956967,933.511963,-1825.853271,484.521851,-0.008758,-0.012073,0.058716,652.778748,-2175.219482,298.431946,-0.099721,-0.026971,0.205971,475.669220,-2213.919678,-55.509102
109,0,-0.046753,-0.003559,0.243522,501.095947,-2202.071533,306.992188,0.234938,-0.016158,-0.160468,450.594055,-2200.360352,575.142578,-0.027333,-0.260796,-1.330076,187.970093,-1979.915283,180.425903,-1.117804,1.407796,3.373716,282.403351,-1762.781494,236.187378,-0.055282,-0.017549,0.340036,328.915619,-2250.217773,316.440399,0.818911,-0.006734,0.829259,880.734375,-2020.687134,296.829712,1.242492,0.487122,1.976018,953.001587,-1853.403198,505.723419,0.018842,0.030930,0.126335,652.451843,-2174.123047,299.317139,-0.103747,-0.026330,0.219160,475.545654,-2212.196533,-55.303482
110,0,-0.043054,-0.002442,0.252644,501.726929,-2200.997803,306.883972,0.242833,-0.020252,-0.162957,451.679199,-2198.819580,575.537292,-0.037014,-0.256820,-1.312869,185.575867,-1982.293091,181.355255,-1.145304,1.345878,3.407804,277.575562,-1764.144653,235.230103,-0.048911,-0.016183,0.341793,330.173035,-2250.247070,316.974152,0.874507,-0.026763,0.800235,882.645386,-2026.044556,296.979401,1.348267,0.397649,2.010145,969.943359,-1881.603027,523.348328,0.024088,0.044971,0.133576,653.568420,-2171.714600,299.182129,-0.104131,-0.025621,0.231100,475.351074,-2210.504150,-55.002762
111,0,-0.035170,0.001497,0.261227,502.419830,-2200.144531,306.907745,0.239508,-0.021173,-0.158113,452.338562,-2197.452881,575.924194,-0.044105,-0.255293,-1.303064,183.495697,-1984.824463,182.037216,-1.169787,1.340338,3.422703,273.492645,-1765.231934,233.757217,-0.048643,-0.011113,0.349170,331.293274,-2250.072754,317.260010,0.940510,-0.024930,0.773509,882.285950,-2029.759399,297.259979,1.488457,0.335219,2.034675,984.211609,-1909.479614,535.480896,0.030380,0.035823,0.143199,653.196594,-2169.429932,298.400726,-0.104436,-0.025923,0.242306,475.085938,-2208.806152,-54.789448
112,0,-0.029221,0.004737,0.268601,503.052185,-2199.201660,306.739868,0.233588,-0.021547,-0.152251,452.944122,-2196.126709,576.367981,-0.055387,-0.250138,-1.289765,181.575272,-1986.927368,181.938263,-1.128945,1.335720,3.454113,269.887848,-1766.183350,231.852081,-0.054371,-0.005558,0.358467,332.207001,-2249.566406,317.135284,1.114686,-0.149498,0.665285,887.542603,-2024.539917,302.523651,1.702881,0.279340,2.046607,996.431824,-1935.401123,542.526550,0.036627,0.038175,0.150143,653.426025,-2167.252441,297.825928,-0.104880,-0.025961,0.252548,474.781677,-2207.089111,-54.743401
113,0,-0.023594,0.007016,0.277291,503.489380,-2198.236328,306.465454,0.228312,-0.024989,-0.149064,453.587769,-2194.811768,576.643677,-0.064169,-0.249635,-1.277375,179.835434,-1989.132202,181.673370,-1.181679,1.306033,3.505352,266.409576,-1767.399292,229.344467,-0.031751,-0.012682,0.368127,332.280518,-2250.954102,317.045654,1.166612,-0.158476,0.654666,887.649353,-2027.042603,302.163574,1.979509,0.265306,2.071138,1004.553223,-1958.726685,545.824707,0.040846,0.041886,0.158868,653.622681,-2164.959473,297.087189,-0.105267,-0.026165,0.265127,474.502991,-2205.483398,-54.811649
114,0,-0.017262,0.009841,0.284616,504.011688,-2197.262451,306.172211,0.225476,-0.028871,-0.140402,454.165710,-2193.658203,576.682495,-0.066971,-0.247825,-1.268006,178.239136,-1991.046021,180.956848,-1.077927,1.357764,3.518229,263.516815,-1768.222778,227.372620,-0.026682,-0.012410,0.371252,333.143768,-2251.099121,316.997894,1.238060,-0.170583,0.640240,887.385376,-2027.387085,302.479462,2.050747,0.209938,2.141824,1012.936462,-1982.760010,548.246948,0.045399,0.046592,0.169995,653.665588,-2162.590088,296.405182,-0.105424,-0.027753,0.273557,474.374115,-2203.839600,-54.994354
115,0,-0.016585,0.010637,0.294701,504.177856,-2196.030029,305.535767,0.221265,-0.025730,-0.141406,454.718964,-2192.601807,576.564575,-0.069814,-0.254466,-1.260943,177.066818,-1993.232910,180.067398,-1.080093,1.351115,3.516916,261.125092,-1768.936401,225.087219,-0.019905,-0.007442,0.380211,334.056915,-2251.403809,316.741364,1.467903,-0.257915,0.537097,890.809204,-2021.496094,312.725555,2.432388,0.199337,2.093095,1016.703979,-2005.938721,549.838013,0.051450,0.049060,0.182376,653.472534,-2160.150879,295.958832,-0.106346,-0.028705,0.281529,474.297119,-2202.235107,-55.356499
116,0,-0.009648,0.011411,0.305100,504.197906,-2195.135742,305.175568,0.216833,-0.025089,-0.137044,455.049774,-2191.704102,576.157898,-0.068882,-0.257062,-1.255422,176.058777,-1995.035156,178.836395,-1.052131,1.382133,3.529639,259.140381,-1770.239746,222.512573,-0.024880,-0.008060,0.383926,334.496185,-2251.022217,315.964050,1.529786,-0.271063,0.540959,890.788574,-2020.748413,312.186798,2.503495,0.127297,2.126211,1024.179688,-2031.946899,550.339233,0.058722,0.047594,0.190579,653.089111,-2157.614502,295.572693,-0.107488,-0.028660,0.289792,474.128143,-2200.776367,-55.771317
117,0,-0.001368,0.012268,0.312907,504.240326,-2194.358643,304.832672,0.218609,-0.025813,-0.134099,455.394562,-2190.792725,575.488464,-0.064434,-0.254945,-1.246730,175.296570,-1996.162842,177.187759,-1.045765,1.376733,3.525564,257.193207,-1771.373169,220.294937,-0.081278,0.005675,0.389604,335.338348,-2247.754883,314.532684,1.686260,-0.298285,0.492107,891.723694,-2018.869873,318.134644,2.596915,-0.117415,2.113645,1032.704224,-2059.568848,546.863708,0.070059,0.046678,0.201885,652.496033,-2155.615967,295.338654,-0.106165,-0.029544,0.296258,473.932556,-2199.331787,-56.255894
118,0,0.002723,0.013181,0.321832,503.927002,-2193.562256,304.117676,0.220563,-0.023271,-0.131171,455.529724,-2190.133057,574.675232,-0.068080,-0.260590,-1.245333,174.690430,-1997.791992,175.547638,-1.050669,1.373312,3.520926,256.025726,-1772.045166,218.221924,-0.020381,0.007448,0.382606,336.424408,-2250.520264,315.484955,1.753291,-0.300743,0.488103,891.476318,-2019.253784,318.768097,0.739261,-0.299373,-0.768890,1014.457825,-2117.909912,531.916565,0.080537,0.043985,0.206026,651.967773,-2153.941406,294.902527,-0.105947,-0.030781,0.301198,473.730103,-2197.849854,-56.852425
119,0,0.013744,0.014433,0.327434,503.718018,-2193.522461,303.658417,0.223907,-0.022794,-0.130114,455.558899,-2189.552002,573.775940,-0.069132,-0.264434,-1.243122,174.471863,-1998.802124,173.720139,-1.063099,1.390085,3.525496,255.046188,-1772.870972,216.238846,-0.055670,0.001571,0.380425,335.993195,-2248.336914,313.462036,1.820037,-0.343794,0.420653,894.543152,-2018.340088,319.855804,0.780622,-0.219948,-0.824022,1014.546021,-2135.420166,521.163391,0.093642,0.044348,0.209179,651.568909,-2153.127686,294.349762,-0.105175,-0.031658,0.305205,473.377808,-2196.341309,-57.488010
120,0,0.045241,0.028555,0.323196,505.092316,-2195.181396,304.365204,0.223962,-0.023748,-0.130212,455.490753,-2189.065674,572.680664,-0.071192,-0.269565,-1.240866,174.391388,-1999.451782,171.856766,-1.067068,1.390642,3.518786,254.482712,-1773.564819,214.259613,-0.012138,0.010343,0.387315,336.203888,-2250.510254,313.814209,1.809992,-0.313854,0.411936,893.667542,-2019.709839,314.778259,0.825323,-0.150326,-0.870760,1012.947937,-2146.101074,511.537781,0.103976,0.043240,0.209692,651.095764,-2152.846191,293.457123,-0.103182,-0.033809,0.308030,472.852417,-2194.865967,-58.234081
121,0,0.030976,0.000547,0.305470,503.012115,-2192.670898,300.816833,0.223434,-0.024445,-0.127930,455.352692,-2188.888672,571.758728,-0.073125,-0.274577,-1.242509,174.390015,-1999.686157,170.217148,-1.083410,1.402462,3.516453,254.444244,-1773.567383,212.180664,-0.037885,0.005287,0.387646,335.226959,-2248.765137,311.792725,1.782905,-0.288577,0.424848,892.538269,-2021.918091,307.998779,-2.357460,0.600272,-1.583896,1040.679443,-2122.091309,513.911865,0.109874,0.042192,0.207980,650.585388,-2152.863525,292.227966,-0.101348,-0.035210,0.307873,472.158417,-2193.434082,-59.165642
122,0,0.036843,0.018348,0.320973,502.728638,-2193.743652,300.551453,0.220502,-0.027128,-0.127379,455.228485,-2188.887451,570.839355,-0.074888,-0.275258,-1.244075,174.445145,-1999.157837,168.803726,-1.096414,1.415375,3.506650,255.002350,-1773.395386,210.231400,-0.013899,0.010060,0.380948,334.762329,-2249.324707,311.038635,1.768223,-0.301367,0.418513,893.126099,-2024.143921,302.481445,,,,,,,0.112827,0.049336,0.208534,650.110596,-2153.179688,290.534576,-0.099819,-0.037074,0.305364,471.235291,-2192.131836,-60.249638
123,0,,,,,,,0.217236,-0.028478,-0.125981,455.118317,-2189.093994,569.914917,-0.074967,-0.274951,-1.249083,174.650864,-1998.142578,167.793488,-1.088163,1.421665,3.493407,256.271027,-1773.130859,208.787811,-0.009286,0.013599,0.377268,333.906616,-2248.930908,309.513794,1.803417,-0.352725,0.373626,895.596191,-2026.110840,301.354340,,,,,,,0.112502,0.048525,0.200845,649.480652,-2153.821777,288.552795,-0.100875,-0.037752,0.300059,470.132141,-2190.858887,-61.639355
124,0,0.046891,0.022055,0.319873,500.603546,-2194.589111,297.117554,0.215745,-0.029709,-0.124301,455.064636,-2189.504395,569.037109,-0.077643,-0.279443,-1.258013,175.159073,-1996.694214,167.252853,-1.170618,1.490869,3.438780,258.507385,-1772.109985,207.570419,-0.024766,0.008231,0.371294,332.321350,-2247.405762,307.138123,1.766693,-0.347092,0.373911,894.997009,-2028.335571,293.638824,-2.378310,0.599290,-1.767423,1032.151733,-2112.094971,505.795135,0.112340,0.049544,0.194913,648.756836,-2154.941650,286.494995,-0.100848,-0.038022,0.292848,468.802368,-2189.793701,-63.168213
125,0,0.042625,0.018638,0.306551,499.443848,-2194.374756,294.704773,0.213706,-0.024141,-0.129183,454.924622,-2189.996826,567.737366,-0.076463,-0.269449,-1.263625,175.189163,-1994.137695,166.786636,-1.101062,1.470586,3.461762,261.594727,-1771.026733,207.716583,-0.025100,0.007181,0.362578,330.766571,-2246.550537,305.196075,1.726774,-0.333456,0.386323,893.841370,-2030.607422,286.024841,-2.426725,0.521674,-1.806389,1028.376343,-2101.425781,504.691376,0.111160,0.052792,0.189134,647.945679,-2156.246582,284.384949,-0.101863,-0.037378,0.282809,467.269287,-2188.907471,-64.926147
126,0,0.042637,0.018926,0.298472,498.099976,-2194.625244,292.778778,0.217038,-0.027915,-0.122369,455.004669,-2190.475586,566.542542,-0.080022,-0.267777,-1.271321,175.309814,-1991.682251,166.720779,-1.093420,1.448914,3.462882,264.775726,-1769.936646,208.683533,-0.021640,0.013261,0.366349,328.796478,-2245.644287,303.393707,1.722858,-0.322278,0.395760,892.618042,-2032.806885,282.523621,-2.455654,0.523576,-1.920436,1026.824219,-2088.717041,503.288757,0.106290,0.055998,0.182465,646.922852,-2157.492920,282.303314,-0.101079,-0.035706,0.272654,465.525848,-2188.308594,-66.748466
127,0,0.040798,0.018807,0.290965,496.503662,-2194.720703,291.124084,0.219909,-0.024516,-0.121173,454.926147,-2190.930908,564.949524,-0.079029,-0.258384,-1.285469,175.310852,-1988.629517,166.826508,-1.036355,1.413135,3.444863,268.668365,-1768.789551,209.827499,-0.082079,0.015579,0.352044,326.603577,-2241.041504,300.054413,1.617918,-0.311152,0.417941,892.128906,-2032.916992,272.924347,-2.484401,0.453724,-2.014855,1023.965820,-2072.886475,501.502380,0.098231,0.068184,0.176965,646.303223,-2158.816650,280.727997,-0.099650,-0.033047,0.260971,463.710052,-2187.953857,-68.525436
128,0,0.036174,0.018028,0.282261,494.736725,-2194.595459,289.664246,0.225569,-0.021990,-0.121162,454.765656,-2191.269043,563.249329,-0.075907,-0.245527,-1.295956,175.355377,-1984.995117,167.145065,-1.057536,1.371464,3.453916,272.029205,-1767.611328,212.081894,-0.054052,0.015770,0.339363,324.925110,-2240.861816,299.438416,1.563210,-0.293209,0.423151,891.124390,-2031.902588,267.984955,-2.519077,0.432907,-2.056861,1020.945190,-2055.060303,499.218964,0.086921,0.064326,0.154753,645.344421,-2159.819336,279.075073,-0.098429,-0.030232,0.248240,461.863403,-2187.739014,-70.210396
129,0,0.035839,0.016615,0.269685,493.025818,-2194.704834,288.728180,0.230660,-0.018615,-0.121707,454.457672,-2191.511719,561.591309,-0.075958,-0.244066,-1.311201,175.855011,-1981.680298,167.762207,-1.038797,1.398630,3.412838,276.256256,-1765.951904,214.279816,-0.035823,0.011920,0.335791,322.445007,-2240.524414,298.973083,1.506726,-0.270522,0.431300,889.772827,-2029.815918,263.621979,-2.525932,0.285889,-2.219219,1017.215820,-2035.039185,495.041565,0.083803,0.054327,0.149279,643.231995,-2161.529053,277.949982,-0.095677,-0.027682,0.235450,459.966064,-2187.689697,-71.629799
