Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
76,0,-0.294018,0.027011,-0.022647,521.579163,-1505.146240,213.011749,0.447364,-0.005920,-0.191564,492.804199,-1513.475830,443.402008,-0.729308,-1.128661,-0.882416,264.452972,-1464.497681,-37.616966,,,,,,,-0.329316,-0.014986,0.064466,340.828339,-1501.871582,222.460388,-0.265370,1.369790,0.406473,780.122314,-1534.997559,2.710831,0.601753,1.558796,0.616991,816.941467,-1368.852783,-172.979568,-0.296866,0.050202,-0.171032,676.906128,-1522.375732,202.019623,-0.260699,0.026841,-0.016141,483.368439,-1591.338623,-139.096695
77,0,-0.287378,0.026903,-0.025531,521.457275,-1506.013916,209.997955,0.455499,-0.007692,-0.191608,493.116058,-1515.098022,439.912231,-0.707419,-1.103442,-0.892977,263.046967,-1463.734009,-39.370876,,,,,,,-0.320435,-0.016328,0.061521,340.753723,-1502.336548,219.327927,-0.244750,1.363350,0.414267,781.101013,-1534.295288,0.550691,0.646427,1.548247,0.644641,819.468201,-1361.624878,-168.063507,-0.289713,0.043346,-0.168090,676.291809,-1523.238525,199.078888,-0.254520,0.027608,-0.017835,483.053375,-1590.579102,-142.510040
78,0,-0.292336,0.020456,-0.033842,521.504333,-1506.222656,207.035080,0.461031,-0.007959,-0.192162,493.302887,-1516.935059,438.055847,-0.685356,-1.076656,-0.897451,261.588776,-1463.306641,-39.072739,,,,,,,-0.317766,-0.015529,0.056662,340.750641,-1502.411255,217.328217,-0.221379,1.355441,0.422044,781.880005,-1533.572388,-0.406783,0.689471,1.528247,0.682143,822.624329,-1353.435425,-159.705841,-0.287462,0.050238,-0.172956,676.533630,-1524.262451,196.716263,-0.249489,0.026671,-0.020758,482.773438,-1589.564209,-144.803116
79,0,-0.283740,0.021654,-0.037272,521.375427,-1507.289673,206.771851,0.464704,-0.006845,-0.193493,493.357056,-1519.051880,438.052368,-0.424435,-1.120745,-0.802909,264.308044,-1447.782959,-32.529243,,,,,,,-0.310049,-0.014881,0.050031,340.739471,-1502.681519,216.919067,-0.190821,1.344944,0.435793,783.097412,-1532.468994,0.489844,0.749740,1.517979,0.720288,825.061462,-1344.924927,-149.099030,-0.276935,0.044898,-0.172144,675.866638,-1525.402344,196.590546,-0.241876,0.026620,-0.022101,482.462799,-1588.232788,-145.692978
80,0,-0.275982,0.021482,-0.039368,521.121094,-1508.394775,207.818069,0.465572,-0.004895,-0.194303,493.295135,-1521.399902,440.004944,-0.371758,-1.078698,-0.793450,262.363037,-1445.007568,-28.373135,,,,,,,-0.303529,-0.015202,0.043274,340.661804,-1503.091187,217.882629,-0.161782,1.325406,0.451614,784.167664,-1530.986572,2.429956,0.777226,1.517529,0.778078,827.966248,-1336.152344,-135.251740,-0.257507,0.034887,-0.173153,674.884888,-1527.215942,198.583557,-0.234194,0.026157,-0.023953,482.213867,-1586.499023,-145.174973
81,0,-0.261654,0.020288,-0.041021,520.836426,-1509.882935,210.862320,0.467016,-0.004135,-0.195630,493.190552,-1523.893311,443.967194,-0.321539,-1.034419,-0.789391,260.186981,-1441.959473,-22.313183,,,,,,,-0.287922,-0.017133,0.040735,340.390686,-1504.225830,220.720749,-0.135880,1.317715,0.468020,786.095032,-1529.676758,7.030200,0.823921,1.467167,0.836589,831.222351,-1327.274902,-118.364403,-0.255763,0.047613,-0.172128,675.208008,-1528.275146,200.456619,-0.226182,0.024528,-0.027112,482.103821,-1584.332764,-143.042053
82,0,-0.247609,0.019603,-0.042176,520.691284,-1511.464966,215.468521,0.458305,-0.000780,-0.205223,493.392120,-1526.438110,449.929535,-0.267139,-1.004447,-0.776480,258.551117,-1437.578979,-13.631823,0.822882,-1.545906,-1.090057,261.114990,-1222.472656,-103.344902,-0.269130,-0.020635,0.036657,340.186615,-1505.773804,225.417587,-0.110734,1.290970,0.489208,788.011292,-1527.875366,12.418312,0.885325,1.450647,0.895091,833.456970,-1318.632080,-98.506294,-0.245312,0.048854,-0.168474,674.796814,-1529.706177,204.822159,-0.219486,0.023127,-0.026187,481.866302,-1581.773193,-139.016068
83,0,-0.231767,0.019824,-0.043206,520.646851,-1513.277344,222.044632,0.455540,0.000016,-0.207091,493.338104,-1529.231934,458.124451,-0.229103,-0.951274,-0.787911,256.220581,-1434.391846,-3.648482,0.891388,-1.528328,-1.169390,260.742157,-1213.041260,-72.090935,-0.262727,-0.020029,0.036445,340.163666,-1507.006470,231.431671,-0.026524,1.261243,0.491574,787.984924,-1522.844360,18.787262,0.934784,1.409616,0.950307,835.357727,-1310.987793,-76.687195,-0.230092,0.051064,-0.164927,674.492981,-1531.509033,211.266251,-0.213302,0.022051,-0.024215,481.568420,-1578.811768,-133.003952
84,0,-0.213602,0.019422,-0.045023,520.640442,-1515.270874,230.665421,0.452408,-0.001331,-0.208955,493.345673,-1532.182983,468.486847,-0.183309,-0.910648,-0.797983,254.455093,-1430.509399,8.974926,0.949921,-1.499252,-1.253039,260.408783,-1205.035645,-37.846779,-0.240202,-0.023258,0.035083,339.985352,-1509.205566,240.140610,0.032163,1.203724,0.515358,789.867493,-1518.581055,26.468924,0.975942,1.356192,1.000858,836.978149,-1303.438110,-52.895588,-0.214244,0.049758,-0.176617,674.909302,-1533.529175,219.589630,-0.208423,0.021014,-0.023162,481.350586,-1575.446045,-125.132080
85,0,-0.194392,0.018618,-0.046862,520.529968,-1517.436157,241.199600,0.447073,-0.000234,-0.208890,493.382446,-1535.138916,480.976013,-0.132371,-0.861180,-0.805891,252.275314,-1426.062866,23.324781,1.003161,-1.484568,-1.351054,260.183044,-1198.641113,-1.556593,-0.221675,-0.022893,0.033235,339.956116,-1511.258423,250.680893,-0.004479,1.097059,0.561277,795.244202,-1518.523560,33.727745,1.023154,1.313922,1.059387,838.126221,-1296.742188,-27.209278,-0.194782,0.050558,-0.170356,674.425598,-1535.618042,230.018341,-0.201289,0.020091,-0.022228,481.177521,-1571.670898,-115.258438
86,0,-0.173680,0.019335,-0.045481,520.254761,-1519.789307,253.524094,0.439720,0.001554,-0.208885,493.507172,-1538.095337,495.557159,-0.104534,-0.832720,-0.814364,250.031647,-1422.583496,40.640312,1.086251,-1.388359,-1.408126,259.920898,-1193.989380,36.169231,-0.199603,-0.020846,0.033277,339.888245,-1513.755127,263.370514,0.048550,1.158296,0.584308,795.078735,-1515.504150,51.614189,1.055672,1.283287,1.118016,838.905945,-1290.951294,-0.162008,-0.176019,0.050899,-0.168114,673.953491,-1537.789429,242.026855,-0.194467,0.018716,-0.020456,481.007385,-1567.496338,-103.479424
87,0,-0.150088,0.019276,-0.048198,520.195801,-1522.393188,267.493469,0.429533,0.003340,-0.208961,493.732025,-1540.970581,511.988464,-0.022720,-0.826067,-0.808994,249.412445,-1417.293823,60.545288,1.125281,-1.372716,-1.495770,260.509094,-1191.147339,74.435120,-0.181506,-0.017717,0.034159,339.844177,-1516.176636,277.429749,0.090584,1.173195,0.616081,795.743835,-1512.798828,68.003242,1.095391,1.255674,1.166269,839.022766,-1286.067871,27.805870,-0.155383,0.054588,-0.174432,674.064819,-1540.170044,255.585220,-0.187958,0.016635,-0.017829,480.841187,-1563.000000,-89.991989
88,0,-0.128606,0.020278,-0.046499,519.919006,-1524.962769,282.521790,0.418215,0.006593,-0.207995,494.038361,-1543.713135,530.003174,-0.002986,-0.751400,-0.831259,245.655487,-1413.984619,78.917999,1.174633,-1.316381,-1.551842,261.428009,-1190.012207,112.680573,-0.154623,-0.016284,0.037993,339.655426,-1519.340454,293.084625,0.130894,1.139716,0.639239,796.796631,-1509.384888,83.162964,1.135527,1.230221,1.218239,838.306458,-1281.902832,56.029861,-0.135391,0.051036,-0.177149,673.777100,-1542.538086,270.421600,-0.185871,0.015707,-0.015501,480.696320,-1558.241455,-75.035057
