Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
21,0,-0.038945,-0.005077,0.134020,681.502869,-2139.207520,304.135925,0.154006,0.039422,0.045110,663.698242,-2139.394775,595.379089,0.150349,-0.766976,-0.924116,411.548981,-2022.320801,105.455925,-2.094510,1.407021,3.114758,419.102753,-1814.724976,186.864700,-0.028461,-0.037993,0.240518,504.058014,-2170.881836,312.719482,0.046168,0.983205,1.339350,939.095825,-1979.627563,113.804344,1.005450,1.335593,1.959076,842.354980,-1779.451050,156.048157,0.005260,0.026323,0.041381,834.580505,-2127.200928,296.982086,-0.191400,-0.013178,0.147646,653.959595,-2128.558838,-54.588989
22,0,-0.038504,-0.007110,0.134377,680.489685,-2138.940186,304.066345,0.154373,0.039171,0.046606,662.839417,-2139.006348,595.338989,0.115616,-0.851279,-0.951923,411.850494,-2026.782959,108.064590,-2.101221,1.484468,3.053868,416.911438,-1814.874390,187.119324,-0.013663,-0.039894,0.238080,503.297089,-2171.832275,313.201233,0.044527,0.980205,1.340282,937.843872,-1978.878296,113.409782,1.004892,1.334929,1.960475,840.775085,-1778.943970,155.848282,0.007041,0.015594,0.049684,832.766235,-2126.813232,296.816650,-0.190392,-0.012942,0.149732,652.940857,-2128.445801,-54.752106
23,0,-0.040089,-0.005741,0.137676,679.487549,-2138.667236,303.952393,0.153193,0.040513,0.049334,661.917053,-2138.606201,595.271057,0.124783,-0.829647,-0.950241,410.110718,-2026.227295,106.998276,-2.015776,1.479058,3.110430,415.797638,-1815.200073,186.484039,-0.012404,-0.035653,0.239817,502.651154,-2171.970215,313.238342,0.042228,0.992588,1.343249,936.248718,-1978.678711,113.562775,1.007095,1.341318,1.960251,839.036194,-1778.425781,155.604156,0.006593,0.015656,0.052958,831.628906,-2126.255615,296.659180,-0.189133,-0.013475,0.151815,651.863708,-2128.326172,-54.952625
24,0,-0.035734,-0.006654,0.135691,678.630859,-2138.597168,304.050537,0.152727,0.040327,0.050581,660.992859,-2138.149170,595.199463,0.120742,-0.830758,-0.934085,409.000946,-2026.421509,106.980194,-2.018209,1.474709,3.115506,414.299683,-1815.433960,186.188171,-0.011672,-0.041644,0.239465,501.336456,-2172.066650,313.026367,0.042989,0.985009,1.342405,934.910828,-1977.846191,112.980949,0.999758,1.342868,1.952526,837.557007,-1778.305786,155.478195,0.006402,0.015860,0.053911,830.649902,-2125.742920,296.550598,-0.187856,-0.013259,0.153777,650.803711,-2128.204834,-55.135086
25,0,-0.038083,-0.005909,0.139439,677.478333,-2138.253662,303.804443,0.151721,0.041168,0.052555,660.015625,-2137.718750,595.145020,0.139067,-0.769908,-0.928746,406.169312,-2024.646484,104.830872,-2.204802,1.422111,3.049183,412.406372,-1815.204590,186.184174,-0.011227,-0.041784,0.241699,500.331238,-2172.143066,312.977509,0.043956,0.984119,1.345626,933.461548,-1977.223877,112.561493,1.006142,1.345275,1.959732,835.750244,-1777.536743,155.068069,0.006629,0.016828,0.056397,829.579895,-2125.245361,296.441498,-0.187335,-0.012633,0.155064,649.725403,-2128.079346,-55.318596
26,0,-0.036783,-0.004835,0.140743,676.449951,-2138.051758,303.858337,0.151682,0.041329,0.053977,659.005371,-2137.278076,595.126953,0.137382,-0.732296,-0.925277,403.063904,-2024.089600,103.844803,-2.109612,1.481199,3.065296,410.677002,-1815.360718,186.036606,-0.031490,-0.032465,0.250612,499.501709,-2171.313232,312.810974,0.045833,0.984915,1.345917,932.000549,-1976.486450,112.300499,1.006765,1.342546,1.960902,834.178833,-1777.055664,154.887131,0.006880,0.016465,0.058161,828.453979,-2124.776367,296.394867,-0.185297,-0.013063,0.155984,648.658508,-2127.974609,-55.439571
27,0,-0.038080,-0.006904,0.141556,675.269897,-2137.685059,303.679169,0.150473,0.042949,0.055987,657.937317,-2136.847168,595.086365,0.131519,-0.798936,-0.936018,404.250763,-2026.191895,105.517059,-2.021549,1.476197,3.119772,409.445618,-1815.702881,185.221893,-0.015207,-0.037930,0.247845,498.354950,-2172.009766,312.801208,0.051110,0.973457,1.342867,930.403259,-1975.416260,111.496140,1.008211,1.344152,1.960639,832.590576,-1776.586304,154.734955,0.001755,0.026417,0.051520,828.170044,-2123.966797,296.247284,-0.183383,-0.012691,0.158059,647.532532,-2127.921387,-55.535896
28,0,-0.038794,-0.007589,0.141964,674.169983,-2137.376953,303.526367,0.149265,0.042493,0.056491,656.842896,-2136.347412,594.998535,0.131521,-0.815217,-0.923859,403.735931,-2026.183105,105.889862,-2.026466,1.478232,3.120575,407.762115,-1815.705200,184.862488,-0.012062,-0.039141,0.248122,497.237610,-2172.138428,312.770660,0.040632,0.989696,1.345687,929.120483,-1975.655396,112.069000,1.009047,1.340483,1.948416,831.063538,-1776.544678,154.604782,0.005817,0.016436,0.061089,826.161499,-2123.743896,296.199707,-0.181935,-0.013386,0.159633,646.440186,-2127.854980,-55.702328
29,0,-0.039217,-0.004506,0.144972,673.145569,-2137.115967,303.563995,0.149823,0.042553,0.057425,655.705444,-2135.863281,594.903076,0.130076,-0.823663,-0.924859,402.603607,-2026.640869,106.019173,-2.024010,1.481171,3.121628,406.100067,-1815.662354,184.463562,-0.032749,-0.030500,0.257189,496.345581,-2171.209961,312.575989,0.042388,0.988610,1.347077,927.574280,-1975.086670,111.693382,1.005559,1.351685,1.962506,829.232422,-1775.709106,154.185211,0.004303,0.017004,0.063092,825.005371,-2123.149658,296.064789,-0.181531,-0.012247,0.160885,645.315186,-2127.812988,-55.876041
