Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
21,0,-0.038407123316613494,-0.005104196724445677,0.13340732669167954,681.9188948946597,-2139.315770145473,304.1961774514507,0.154187609172389,0.03942065255961712,0.0447456024528842,664.1643086249104,-2139.579092864657,595.4579224345711,0.1500021480571794,-0.7679548031417447,-0.9249553313341713,412.05304435020963,-2022.316768031965,105.55254936924858,-2.09739252584725,1.4048795985307103,3.1150721532654955,419.73729358835084,-1814.7048733226054,187.03279441208383,-0.027362891440949347,-0.037935635594893304,0.23956298087079259,504.48463929183714,-2170.9110397340605,312.7992325786588,0.04675784337169036,0.9825381506601575,1.3390484631479558,939.6223819048762,-1979.7999323977544,113.87602773522383,1.0058467074213757,1.3350210106652525,1.959161600568519,842.9545654713082,-1779.6580199805605,156.21720076684088,0.005853023545607359,0.026190318453426818,0.04075292854304944,834.9902558551468,-2127.399079918892,297.0390100851697,-0.19215564970954668,-0.013266003218704577,0.1475037529865231,654.3562345972778,-2128.454498637693,-54.49381384352047
22,0,-0.03833239891578189,-0.005223102798686644,0.13421150545369695,681.2988388517709,-2139.1602643897168,304.1462082752234,0.15390845291900354,0.039723445501277196,0.0458240692479585,663.5899595764774,-2139.3285692447216,595.4175994713129,0.14775082259255998,-0.7722534700021442,-0.9256069354044658,411.32142175378317,-2022.764461116834,105.55153932943911,-2.0935701565119826,1.4136849400006204,3.1146777105584316,418.7141599816026,-1814.7883660581824,186.89611525191094,-0.025599501174224746,-0.03795443170438476,0.24028888564698997,503.92483899812675,-2171.052197151533,312.81120192284385,0.046601036698671806,0.9826465515744539,1.3396400778210533,938.7479280647382,-1979.413880352174,113.68495137702816,1.0060221417180202,1.3358907535558224,1.9592042540032453,841.9569780275457,-1779.3838235088863,156.09527565508526,0.005935100125286331,0.024943569567624318,0.04270919763622116,834.2507192008641,-2127.0814530349817,296.9579709774936,-0.19144690729337005,-0.013227369607770443,0.1487260172590707,653.706928690614,-2128.377793599118,-54.598401432866005
23,0,-0.03827525010817634,-0.005338903085436839,0.13504042680700418,680.6706919513808,-2139.002148726298,304.09386904211914,0.15363182986576435,0.04002821698950814,0.04690834390942683,663.0054108569494,-2139.0750603198176,595.374122414185,0.14555985623036685,-0.7764260176446667,-0.9262071676343198,410.577796795177,-2023.205172328372,105.54592953491624,-2.089688303221262,1.4224657639020053,3.1142889087096943,417.6764297395049,-1814.8726492782775,186.75568448226744,-0.023909800259076085,-0.03797489392537217,0.24105486193051748,503.35614184423196,-2171.1913505055736,312.81934665779477,0.04644079319598176,0.982764981801511,1.3402360249067484,937.8623000972118,-1979.0232969545402,113.49160146892402,1.0061833077848072,1.3367768774906779,1.9592417911373678,840.9471307956641,-1779.1044998248428,155.97003645660956,0.005998876766602969,0.023716738930917663,0.0446746716215572,833.5047861466301,-2126.75808873137,296.87495331492534,-0.19071993551467217,-0.013185779640200034,0.14995551431492846,653.0499862787065,-2128.3041802530374,-54.7059076304811
24,0,-0.03824521127414164,-0.0054502601395519145,0.13589717003540966,680.0308613327534,-2138.840311396934,304.038534671782,0.1533540401997826,0.04033256412284633,0.047995746982254096,662.4060585848508,-2138.816641039684,595.3266558738814,0.1434654915079106,-0.7803834822980202,-0.9267273288022888,409.81758222402976,-2023.632193932743,105.53248437190847,-2.0858091214895045,1.4311136968194327,3.1139133008169,416.620510635611,-1814.9565128256186,186.6092635066448,-0.022329698896256116,-0.03799650938052693,0.24187122618943493,502.7745464153521,-2171.3257711659103,312.82227571331214,0.046271775045586584,0.9829017752066359,1.3408342374866555,936.9622880465756,-1978.6278574466166,113.2956158316671,1.006326998021555,1.3376777482287767,1.9592688134317544,839.9219235402576,-1778.8193459078823,155.83995447248125,0.006033034530086756,0.022527624152950232,0.04663703716337755,832.7504048109488,-2126.4279124025416,296.7897880535007,-0.1899701264755334,-0.013140343133283458,0.15118745342029796,652.3825577352565,-2128.235175562605,-54.816916992020175
25,0,-0.03825193774613308,-0.005556002053836811,0.13678426056576154,679.3754468064044,-2138.67356285468,303.9796009769096,0.1530708098981847,0.04063379558119106,0.04908367297111454,661.7869862567858,-2138.5511751643053,595.2744022291415,0.14150059559338027,-0.7840441323381994,-0.9271408660505537,409.03603612056014,-2024.0392006595862,105.50809826353061,-2.0819936686629443,1.4395262923740018,3.1135568805392957,415.54262028012056,-1815.03864474973,186.45447677661394,-0.02089288247452884,-0.038018784100861194,0.24274717436423088,502.1757648464771,-2171.4527132619914,312.8186698707495,0.046087553126292695,0.9830660546181261,1.3414328756742844,936.0444177693097,-1978.22725985824,113.09667729764028,1.0064500418837723,1.338591892391475,1.9592801059141967,838.8779394092422,-1778.5275926538561,155.70337495810915,0.006026173408612074,0.021392882480277747,0.048584318239444896,831.9851255648258,-2126.0898370524274,296.7023173998594,-0.18919268609767645,-0.013090228780927917,0.15241663455788335,651.7015137948374,-2128.1722971809963,-54.93202397251919
26,0,-0.03830494343095416,-0.005655168786121541,0.13770341175990805,678.700399536218,-2138.5006769309057,303.91651138620267,0.15277738359350712,0.04092892764431625,0.05016952452933823,661.1431453494768,-2138.276380996965,595.2166352182426,0.13969345953592033,-0.7873365098802482,-0.9274244358352203,408.22848670943216,-2024.4204305210549,105.46991118132988,-2.078300597053997,1.447609847155922,3.113223698501728,414.4390166198738,-1815.117637701826,186.28888405189636,-0.019629711180814764,-0.03804125989253554,0.2436902189642038,501.55538906911556,-2171.5694698910565,312.8073293226351,0.04588068750647658,0.9832675325118314,1.3420303262845794,935.1051392564793,-1977.8212876376253,112.89455456342438,1.006549390109732,1.3395179632223053,1.959270806886566,837.811643461033,-1778.2284559995016,155.55857014518622,0.0059671491602627065,0.02032750608412975,0.050505021816869076,831.2062174153539,-2125.74283321301,296.61241094734225,-0.18838287449380534,-0.01303470837638121,0.15363740512396534,651.0035891073157,-2128.117020101098,-55.05180309488399
27,0,-0.038413333068891546,-0.005747050451802119,0.13865529108832936,678.001683368161,-2138.3204309910043,303.8487822136466,0.1524686278884097,0.04121469323433847,0.05125064671022884,660.469538684683,-2137.98989960054,595.1527323564193,0.1380668490220826,-0.7902018825756719,-0.9275587939788152,407.3905471338049,-2024.7708293178816,105.41540731679204,-2.0747849818058572,1.4552816188479807,3.112915611405807,413.30622869627405,-1815.1919945873892,186.11005415247612,-0.018566264205213442,-0.03806352073996415,0.24470568948211738,500.9090585808896,-2171.6734224471597,312.7872166552815,0.045642860662597304,0.9835162788228045,1.3426251889570369,934.1410150606362,-1977.4098666825403,112.68913861366981,1.0066222122499322,1.3404546856222237,1.9592365603995383,836.7195835595041,-1777.9211888958598,155.40379669887383,0.005845405708730494,0.01934438465258847,0.05238823882920743,830.4107942722549,-2125.385994795305,296.5199816459254,-0.187536254349106,-0.012973199793272227,0.1548436430322468,650.2855279240767,-2128.0707292997836,-55.176778871146716
28,0,-0.03858553729847073,-0.005831216370717038,0.1396393222045764,677.2754321710763,-2138.13164303378,303.7760253266437,0.15213914288839211,0.04148756552503869,0.05232426586556903,659.7613993083997,-2137.689362798283,595.0822048647117,0.13663734157965965,-0.792596019743381,-0.9275294847677776,406.51831114678123,-2025.0861534449355,105.3424933020936,-2.071497309174587,1.4624713770492055,3.1126321771370606,412.1412772391762,-1815.2601332763645,185.91563770560214,-0.017723564455821007,-0.03808518799675396,0.2457963210705382,500.23262311276306,-2171.7620813966037,312.7574936187215,0.04536506271206433,0.9838224600795564,1.3432162494992288,933.1489005057826,-1976.9931131843691,112.48047273467984,1.0066660050450653,1.3414007811132014,1.9591736457165503,835.598584693631,-1777.6051314348626,155.23735580908848,0.005651292553285604,0.018453969766790253,0.05422370208668459,829.5959457211379,-2125.0185973438693,296.4250008152682,-0.18664893790214448,-0.012905307138812662,0.15602877261914636,649.5442257462622,-2128.0346692582366,-55.30739673121749
29,0,-0.03882905904210349,-0.0059075343100184205,0.14065353292663588,676.5180968258434,-2137.9332037708064,303.6979671531225,0.15178338005856218,0.041743796886917615,0.05338743758963228,659.0143578838625,-2137.37245834052,595.0047237972416,0.1354149613304889,-0.7944902633427668,-0.9273273173616986,405.6085225271544,-2025.363028854888,105.24955417435439,-2.068482656725428,1.4691222760922422,3.1123706955669914,410.94187498308344,-1815.3203903066465,185.7034364979068,-0.01711700704667175,-0.03810590517829985,0.2469619517764128,499.5222940948091,-2171.8331175753133,312.7175504313415,0.0450378248425571,0.9841960555849958,1.3438024421682462,932.1261078275481,-1976.5713691843218,112.26877452835033,1.0066787077938952,1.3423548759008317,1.9590790790274972,834.4459281737251,-1777.279756435858,155.0576540085231,0.00537635757536194,0.017664046903069677,0.056001808511455586,828.758866457555,-2124.640145466137,296.3275113657553,-0.18571782307770132,-0.012830856608699596,0.15718581870175932,648.7768610626781,-2128.009891477449,-55.44399623305186
