Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
200,0,-0.021399,-0.007724,0.007950,566.017212,-1273.797485,322.769501,-0.016541,0.029734,-0.159832,550.131470,-1245.887695,624.533569,0.016616,-0.013423,0.013141,144.286224,-1216.665283,294.998993,0.094699,-0.061596,0.015047,-122.433411,-1235.028442,310.223480,-0.034870,-0.006252,0.027823,391.812286,-1272.959595,332.636261,-0.003509,-0.072512,0.049859,982.348877,-1207.085327,327.340179,0.004916,0.026428,0.055366,1273.645264,-1161.679199,397.185333,-0.017796,-0.007151,-0.000157,714.846619,-1272.557495,317.011475,-0.011592,-0.010293,0.024540,539.247437,-1264.020264,-42.264145
201,0,-0.022778,-0.007528,0.007822,566.029175,-1274.078613,322.621155,-0.016878,0.029972,-0.159914,550.163208,-1246.353516,624.460083,0.016547,-0.012089,0.013762,144.236053,-1217.022095,294.902985,0.094601,-0.062325,0.015022,-122.403023,-1235.438965,310.050568,-0.033371,-0.005953,0.027333,391.847290,-1273.338135,332.642303,-0.003362,-0.079945,0.050971,982.815063,-1207.554077,327.222046,0.004088,0.028739,0.056211,1273.663086,-1162.079590,397.106415,-0.018408,-0.005509,0.000449,714.893005,-1272.924316,316.939819,-0.009414,-0.010760,0.023381,539.315369,-1264.310181,-42.261284
202,0,-0.021731,-0.007864,0.006559,566.074097,-1274.454102,322.628357,-0.019339,0.031149,-0.153438,550.037964,-1246.719116,624.328125,0.017315,-0.012613,0.014167,144.271225,-1217.296875,294.814758,0.094558,-0.059266,0.013993,-122.385849,-1235.807983,309.935059,-0.032308,-0.005676,0.027031,391.871765,-1273.700928,332.623566,-0.003286,-0.076677,0.050675,982.659363,-1207.897705,327.161865,0.003342,0.013466,0.049917,1273.489380,-1162.354126,396.950653,-0.019135,-0.005910,-0.000462,714.913269,-1273.237183,316.859558,-0.008657,-0.010503,0.023750,539.351257,-1264.567017,-42.302620
203,0,-0.020835,-0.007937,0.006058,566.099792,-1274.811157,322.627167,-0.014900,0.029338,-0.161774,550.232971,-1247.212158,624.338745,0.017633,-0.013766,0.014356,144.352173,-1217.558472,294.748077,0.094386,-0.060065,0.014566,-122.385101,-1236.155884,309.821716,-0.031298,-0.006974,0.026161,391.834839,-1274.016724,332.558777,-0.003559,-0.075080,0.050997,982.590454,-1208.226318,327.119263,0.002718,0.032652,0.056700,1273.705444,-1162.790771,396.980042,-0.020232,-0.005954,0.000655,714.861938,-1273.499512,316.757111,-0.007888,-0.011270,0.023163,539.421387,-1264.765625,-42.360172
204,0,-0.019860,-0.008570,0.005596,566.111267,-1275.135620,322.638794,-0.015337,0.029855,-0.161869,550.267395,-1247.582153,624.266724,0.018007,-0.013926,0.014719,144.356094,-1217.779541,294.705658,0.094380,-0.060332,0.014854,-122.392761,-1236.451782,309.743896,-0.034755,-0.006273,0.026991,391.853638,-1274.090576,332.385193,0.000526,-0.077637,0.041535,982.643005,-1208.137817,327.088013,0.002096,0.030848,0.057443,1273.722656,-1163.114868,396.907684,-0.020149,-0.006942,0.001543,714.753357,-1273.787720,316.750427,-0.007508,-0.011151,0.023875,539.451233,-1264.956543,-42.390713
205,0,-0.020410,-0.008092,0.006187,566.096741,-1275.368286,322.549438,-0.014341,0.030078,-0.162586,550.304260,-1247.885010,624.224060,0.017866,-0.013257,0.015722,144.315842,-1218.027344,294.621643,0.094389,-0.059967,0.015544,-122.385582,-1236.701782,309.658722,-0.037510,-0.005645,0.028132,391.842926,-1274.208618,332.232697,-0.000699,-0.073378,0.043427,982.414917,-1208.588257,327.096313,0.001667,0.013934,0.049287,1273.533203,-1163.353638,396.741394,-0.018051,-0.006807,-0.008412,715.329224,-1274.319214,316.851166,-0.006181,-0.011700,0.024566,539.466675,-1265.130981,-42.412251
206,0,-0.020782,-0.008177,0.006103,566.095642,-1275.596191,322.484772,-0.014884,0.030506,-0.162570,550.318115,-1248.182739,624.196655,0.017940,-0.013412,0.014987,144.354065,-1218.270264,294.568787,0.095616,-0.059740,0.015997,-122.374443,-1236.905640,309.601074,-0.037844,-0.005837,0.028915,391.812012,-1274.454712,332.174225,0.000149,-0.073303,0.044656,982.424255,-1208.788086,327.068390,0.002505,0.013065,0.048812,1273.567871,-1163.732422,396.681732,-0.017093,-0.007321,-0.009203,715.344299,-1274.651489,316.879669,-0.006097,-0.011540,0.024220,539.559509,-1265.250366,-42.460190
207,0,-0.020159,-0.008006,0.006105,566.109436,-1275.850220,322.466827,-0.017194,0.032163,-0.156129,550.181030,-1248.328247,624.145081,0.018384,-0.013121,0.015821,144.338257,-1218.468506,294.550079,0.095171,-0.061715,0.015152,-122.355606,-1237.065308,309.569672,-0.034271,-0.006415,0.028223,391.818726,-1274.839844,332.226135,0.001412,-0.067750,0.049856,982.143250,-1209.070679,327.055359,0.004793,0.030199,0.054865,1273.786865,-1164.234863,396.722321,-0.014553,-0.007198,-0.009231,715.349426,-1275.044434,316.983246,-0.004640,-0.012168,0.024307,539.624146,-1265.387817,-42.474110
208,0,-0.019885,-0.008198,0.005630,566.133545,-1276.053711,322.423950,-0.014516,0.030697,-0.163236,550.344055,-1248.646729,624.248718,0.018157,-0.012508,0.015366,144.338974,-1218.707642,294.512726,0.095806,-0.060840,0.015712,-122.326660,-1237.208496,309.560577,-0.006862,-0.017250,0.018298,391.439362,-1276.595703,333.004547,-0.002664,-0.069638,0.053219,982.295959,-1209.612549,327.025879,0.005139,0.028676,0.055621,1273.845459,-1164.659424,396.671448,-0.016732,-0.007624,0.000786,714.756104,-1274.998535,316.803619,-0.005072,-0.012147,0.024797,539.661072,-1265.453613,-42.548706
209,0,-0.020035,-0.008517,0.005000,566.140015,-1276.223389,322.375977,-0.014555,0.030942,-0.163719,550.354492,-1248.843140,624.293457,0.019068,-0.012643,0.015341,144.382828,-1218.828979,294.502106,0.096925,-0.058649,0.015804,-122.299469,-1237.306641,309.568481,-0.032229,-0.007076,0.028526,391.792236,-1275.304565,332.158447,-0.003291,-0.069411,0.050605,982.244690,-1209.915405,327.059814,0.005543,0.029312,0.055856,1273.911133,-1165.020020,396.638245,-0.016097,-0.008816,-0.000296,714.749878,-1275.255859,316.810242,-0.005812,-0.011822,0.024452,539.714050,-1265.487183,-42.627323
210,0,-0.019780,-0.008986,0.004539,566.131653,-1276.388184,322.326813,-0.015557,0.031233,-0.163451,550.354065,-1249.023071,624.323792,0.019369,-0.012388,0.015100,144.397797,-1218.957275,294.460785,0.097876,-0.060433,0.014941,-122.289558,-1237.415039,309.555664,-0.031658,-0.006342,0.029232,391.812592,-1275.465576,332.125000,-0.002551,-0.070572,0.051052,982.379944,-1210.181152,327.060364,0.005745,0.030109,0.055088,1273.967651,-1165.374146,396.643768,-0.016421,-0.007812,-0.001134,714.839355,-1275.426025,316.752167,-0.003595,-0.012480,0.023682,539.748535,-1265.539062,-42.602654
211,0,-0.018920,-0.008709,0.004787,566.130005,-1276.553223,322.314911,-0.015715,0.031303,-0.164496,550.358643,-1249.193970,624.354187,0.019897,-0.011773,0.014866,144.411392,-1219.037720,294.442017,0.098605,-0.063179,0.015558,-122.247383,-1237.502075,309.514801,-0.030460,-0.005936,0.028773,391.845062,-1275.608643,332.124756,-0.001008,-0.074108,0.048016,982.610657,-1210.327759,327.066803,0.005829,0.030341,0.054770,1274.031738,-1165.709106,396.676422,-0.015585,-0.008116,-0.000709,714.793823,-1275.616577,316.746185,-0.002878,-0.012134,0.023485,539.788391,-1265.540894,-42.629734
212,0,-0.018884,-0.008708,0.004471,566.139648,-1276.659790,322.258850,-0.015455,0.031458,-0.164935,550.362915,-1249.343018,624.376465,0.021034,-0.010519,0.015395,144.374451,-1219.068481,294.437103,0.099898,-0.058688,0.014854,-122.239090,-1237.529541,309.574707,-0.029858,-0.006108,0.028562,391.847107,-1275.725342,332.084534,-0.001239,-0.077608,0.045005,982.823608,-1210.504761,327.087952,0.007238,0.026800,0.053223,1274.042725,-1166.059448,396.711578,-0.016269,-0.008140,-0.003054,714.920227,-1275.712891,316.671417,-0.002884,-0.012392,0.023478,539.807007,-1265.489868,-42.683250
