Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
40,0,-0.076994,0.005557,0.005473,582.206909,-1484.561768,304.222656,0.080311,0.035361,-0.074233,572.491821,-1498.541870,610.358643,-0.439586,-0.389782,-1.585181,367.746857,-1180.377686,148.442062,-0.454837,-0.650256,-1.552081,379.955505,-930.550476,38.820934,-0.052918,-0.038984,0.171349,400.339691,-1497.330444,314.386597,-0.281760,0.552058,1.383813,821.225464,-1216.745483,157.805405,-0.275665,0.546332,1.389689,818.721436,-938.726562,61.277012,-0.015978,0.037608,-0.100231,736.094177,-1495.088501,296.389954,-0.091505,-0.038423,0.057908,550.583313,-1475.342529,-54.335129
41,0,-0.076401,0.005124,0.005369,582.213623,-1485.056885,304.330780,0.078360,0.034709,-0.073205,572.352905,-1499.025879,610.609070,-0.415266,-0.344263,-1.574060,367.254883,-1175.194702,155.219208,-0.420308,-0.618884,-1.557332,378.962128,-922.801208,53.795528,-0.048952,-0.039124,0.171644,400.350861,-1498.017212,314.589813,-0.264760,0.520604,1.386900,822.312683,-1212.958130,164.068420,-0.221929,0.505432,1.397704,820.896301,-932.430908,75.550308,-0.014296,0.039287,-0.096885,735.982300,-1495.202759,296.241425,-0.089219,-0.038020,0.057452,550.601257,-1475.529419,-54.223995
42,0,-0.076185,0.005771,0.005572,582.282898,-1485.491455,304.443298,0.071259,0.036165,-0.062943,571.955322,-1499.396729,610.723572,-0.396932,-0.312340,-1.579230,366.719055,-1170.881958,162.532974,-0.397632,-0.589910,-1.565907,378.135468,-915.466003,69.041573,-0.046409,-0.040191,0.172425,400.311279,-1498.625488,314.718597,-0.259288,0.479263,1.405925,824.796814,-1209.561646,170.959381,-0.227196,0.503152,1.378624,823.316101,-926.743042,90.109001,-0.015299,0.037443,-0.104999,736.326355,-1495.439331,296.209625,-0.089334,-0.038065,0.056767,550.631165,-1475.677490,-54.189907
43,0,-0.076851,0.005547,0.006653,582.233337,-1485.846558,304.475830,0.069492,0.035782,-0.060864,571.765869,-1499.885864,610.941833,-0.379365,-0.283168,-1.580711,366.286438,-1166.792969,170.039352,-0.352499,-0.546273,-1.578089,377.618774,-908.405823,84.881866,-0.037261,-0.036506,0.185777,400.068420,-1500.193848,315.347717,-0.224794,0.460124,1.393568,823.950378,-1205.941895,177.086456,-0.202017,0.447001,1.397728,825.603821,-920.734375,105.284286,-0.009274,0.038837,-0.100295,736.216370,-1496.342163,296.836517,-0.087372,-0.037743,0.056150,550.650391,-1475.827637,-54.082554
44,0,-0.077060,0.005784,0.007606,582.209961,-1486.187988,304.575989,0.067440,0.034736,-0.060750,571.613831,-1500.366943,611.145203,-0.360409,-0.254377,-1.582482,365.934937,-1162.834229,177.706192,-0.334695,-0.519659,-1.583159,377.099426,-901.913635,100.545761,-0.038070,-0.042407,0.182391,399.840027,-1500.329468,315.110199,-0.198429,0.435683,1.410222,824.585022,-1202.209106,183.302887,-0.193830,0.410982,1.380864,827.522705,-915.966797,120.544273,-0.006741,0.037949,-0.100741,736.218262,-1496.721924,297.050079,-0.086039,-0.038099,0.055308,550.679077,-1475.947510,-54.001438
45,0,-0.078357,0.005960,0.008260,582.202393,-1486.447021,304.611053,0.065781,0.033765,-0.060306,571.459534,-1500.835205,611.313477,-0.341736,-0.224329,-1.585283,365.634186,-1159.039185,185.469116,-0.334924,-0.499079,-1.584809,376.420837,-895.836914,116.174538,-0.033540,-0.042492,0.182113,399.900635,-1500.903809,315.393066,-0.170649,0.394198,1.418835,825.440308,-1198.200317,189.526688,-0.165101,0.400601,1.400138,829.465942,-910.745178,134.790878,-0.005192,0.038000,-0.101275,736.278870,-1497.025146,297.207336,-0.084837,-0.037408,0.055943,550.641663,-1476.068604,-53.921360
46,0,-0.077518,0.006029,0.008094,582.265747,-1486.790161,304.785950,0.070385,0.031889,-0.068115,571.508423,-1501.375000,611.560791,-0.307205,-0.180827,-1.585767,365.590698,-1154.166138,193.278183,-0.298457,-0.457735,-1.591219,376.078674,-890.082458,132.339905,-0.030063,-0.043988,0.181314,399.899170,-1501.386230,315.664642,-0.140521,0.358170,1.434341,826.102112,-1194.318359,195.973709,-0.142839,0.375293,1.402633,831.247925,-906.249756,149.604324,-0.000578,0.037681,-0.095220,735.993713,-1497.428101,297.506470,-0.082762,-0.037357,0.055622,550.632141,-1476.154419,-53.820988
47,0,-0.077662,0.006265,0.008245,582.309875,-1487.031982,304.888245,0.064679,0.032628,-0.057815,571.087341,-1501.675903,611.531250,-0.286973,-0.143583,-1.585536,365.544128,-1150.535645,200.803207,-0.249078,-0.422649,-1.600792,375.858124,-884.853333,148.764481,-0.026320,-0.043591,0.180610,400.001190,-1501.818848,315.929474,-0.129113,0.330786,1.436821,826.824341,-1191.720337,202.989410,-0.136318,0.347934,1.401370,832.766724,-902.201233,164.700287,0.002420,0.037802,-0.095134,736.040833,-1497.739380,297.745453,-0.082541,-0.037311,0.054461,550.638123,-1476.192505,-53.788128
48,0,-0.078288,0.006087,0.008778,582.295654,-1487.197754,304.971069,0.063798,0.032115,-0.057417,570.899780,-1502.058228,611.577087,-0.283780,-0.126855,-1.587802,365.357697,-1148.290894,209.070511,-0.236484,-0.398480,-1.599474,375.506683,-880.016418,164.605133,-0.026920,-0.042385,0.181318,400.077881,-1501.995239,316.084015,-0.116774,0.302950,1.438636,827.478760,-1189.261597,209.974396,-0.117117,0.321641,1.401533,834.195435,-898.494324,179.674149,0.004669,0.036956,-0.095286,736.037048,-1497.997070,297.947937,-0.080516,-0.037129,0.054287,550.622070,-1476.242188,-53.676056
49,0,-0.078510,0.006141,0.008578,582.331970,-1487.380493,305.108826,0.067152,0.033145,-0.065861,570.963928,-1502.523071,611.669250,-0.267704,-0.098497,-1.590225,365.425995,-1145.435425,217.113312,-0.217132,-0.366490,-1.607582,375.689209,-875.852417,180.876266,-0.024272,-0.042757,0.181823,400.065216,-1502.273193,316.317688,-0.105009,0.278256,1.439864,828.028381,-1187.063843,217.068573,-0.096019,0.287527,1.406076,835.414001,-895.229370,194.693253,0.006403,0.036745,-0.096302,736.110535,-1498.211182,298.135651,-0.079577,-0.036626,0.053324,550.637756,-1476.226685,-53.597969
50,0,-0.080242,0.006172,0.009769,582.248352,-1487.449341,305.167755,0.062602,0.030965,-0.057090,570.555298,-1502.709351,611.625671,-0.255027,-0.071570,-1.594459,365.422699,-1142.662354,225.321014,-0.202712,-0.342561,-1.607485,375.228424,-871.922791,196.626541,-0.021738,-0.042796,0.181633,400.078247,-1502.522095,316.595490,-0.090679,0.252370,1.442130,828.445312,-1184.879883,224.024261,-0.076098,0.259136,1.410103,836.583679,-892.374084,209.608185,0.008282,0.036990,-0.096206,736.100403,-1498.394165,298.369568,-0.077681,-0.036330,0.052386,550.641663,-1476.223389,-53.457531
51,0,-0.080504,0.006073,0.010110,582.187317,-1487.535645,305.337006,0.068306,0.028668,-0.065684,570.609558,-1503.095093,611.771667,-0.235378,-0.043309,-1.594050,365.686676,-1140.067139,233.420410,-0.186452,-0.316797,-1.612889,375.129089,-868.633667,212.492233,-0.021232,-0.041949,0.180756,400.113495,-1502.586670,316.829163,-0.078136,0.225346,1.443061,828.908264,-1182.894897,230.944489,-0.054689,0.232551,1.405625,837.598999,-889.562622,224.422577,0.010212,0.036917,-0.096873,736.087219,-1498.545776,298.627960,-0.077154,-0.036122,0.052433,550.598694,-1476.169189,-53.361858
52,0,-0.080302,0.006579,0.010782,582.147766,-1487.593750,305.550171,0.068477,0.028453,-0.064726,570.417542,-1503.357056,611.797791,-0.220430,-0.021186,-1.594557,366.137573,-1137.983276,241.536942,-0.159056,-0.306093,-1.602778,375.409973,-865.848022,228.189102,-0.022080,-0.041919,0.180508,400.073212,-1502.528687,317.006927,-0.067453,0.202925,1.445295,829.249573,-1181.223877,237.934570,-0.046592,0.210969,1.399416,838.755493,-887.745789,239.313492,0.012955,0.036399,-0.095669,735.956787,-1498.698975,298.927887,-0.075768,-0.035911,0.051501,550.593628,-1476.086060,-53.236401
53,0,-0.080655,0.006924,0.010795,582.136414,-1487.614380,305.737091,0.068679,0.027910,-0.064243,570.239258,-1503.578247,611.806580,-0.203810,0.004325,-1.592980,366.531128,-1135.839233,249.568985,-0.150256,-0.261540,-1.609597,375.599762,-863.144775,244.244705,-0.025643,-0.039291,0.174047,400.541321,-1501.910889,317.179230,-0.056099,0.180985,1.448462,829.495605,-1179.784912,244.803024,-0.009141,0.196799,1.403561,839.613831,-886.115784,253.302902,0.012894,0.036670,-0.096246,735.976562,-1498.646362,299.097565,-0.074276,-0.035958,0.050017,550.593079,-1475.982910,-53.101250
54,0,-0.081325,0.007099,0.011176,582.100098,-1487.571167,305.908997,0.067719,0.027317,-0.063645,570.073975,-1503.793823,611.799133,-0.186364,0.029328,-1.591514,367.128174,-1133.893433,257.554108,-0.133681,-0.234742,-1.610818,376.024597,-861.097961,259.866608,-0.023876,-0.039244,0.173022,400.555420,-1501.938843,317.483093,-0.041619,0.155987,1.449628,829.703674,-1178.203491,251.567062,0.001785,0.165270,1.411537,840.580322,-884.471924,268.216797,0.015063,0.036000,-0.093755,735.804810,-1498.690552,299.397888,-0.073640,-0.035299,0.050368,550.548157,-1475.859619,-52.988686
55,0,-0.083069,0.007431,0.011460,582.051147,-1487.428345,306.016571,0.068024,0.026673,-0.063383,569.915405,-1503.950928,611.789734,-0.163314,0.057595,-1.581261,367.476837,-1131.892822,265.444855,-0.118130,-0.207096,-1.610658,376.500122,-859.454529,275.303070,-0.019159,-0.038767,0.172025,400.591980,-1502.043213,317.875366,-0.028337,0.131357,1.449306,829.864746,-1176.796753,258.312286,0.015567,0.143979,1.399637,841.421448,-883.480286,282.646179,0.019641,0.033805,-0.101650,736.093750,-1499.014282,299.907318,-0.071701,-0.035142,0.049883,550.511230,-1475.723511,-52.829384
56,0,-0.083993,0.007768,0.010954,582.044495,-1487.319336,306.206573,0.067045,0.026336,-0.062874,569.763245,-1504.082642,611.781982,-0.153096,0.074544,-1.590543,368.634369,-1130.729492,273.277710,-0.096736,-0.176884,-1.605785,377.274811,-858.310120,290.640259,-0.011508,-0.039992,0.177733,400.196716,-1502.677734,318.304169,-0.009660,0.093175,1.434564,830.390381,-1174.879272,264.835571,0.047569,0.123331,1.399512,841.844177,-882.946533,296.545410,0.021211,0.033499,-0.098982,735.894531,-1498.933472,300.168640,-0.069734,-0.034592,0.049803,550.447327,-1475.574951,-52.657845
57,0,-0.085535,0.008238,0.011171,582.014771,-1487.150879,306.358490,0.066990,0.025602,-0.063040,569.629517,-1504.181152,611.799255,-0.141054,0.076330,-1.595074,370.175232,-1130.326294,280.864746,-0.074895,-0.143730,-1.607467,378.058899,-857.400696,305.874573,-0.010244,-0.039638,0.177002,400.206299,-1502.551514,318.616516,-0.003976,0.078854,1.448621,830.383850,-1174.279297,271.544647,0.056639,0.099631,1.410092,842.438843,-882.094604,310.791870,0.017980,0.035394,-0.090705,735.468933,-1498.413574,300.115936,-0.068998,-0.034126,0.048517,550.439697,-1475.359985,-52.526173
58,0,-0.087244,0.007392,0.010519,581.952637,-1486.914795,306.464935,0.066660,0.025126,-0.062036,569.482788,-1504.246826,611.814758,-0.115993,0.139813,-1.584614,369.827393,-1127.420166,288.592621,-0.059410,-0.115616,-1.608993,378.965179,-856.828064,320.823181,-0.012315,-0.037898,0.177072,400.258148,-1502.219971,318.844788,0.022614,0.027340,1.422199,831.149719,-1171.644653,277.799377,0.068844,0.077460,1.400357,842.824951,-882.006714,324.761017,0.020257,0.039793,-0.086374,735.415100,-1497.952271,300.059509,-0.067685,-0.033429,0.047392,550.414429,-1475.143677,-52.366932
59,0,-0.089470,0.006956,0.011323,581.817932,-1486.647705,306.555847,0.066004,0.024678,-0.061031,569.349060,-1504.274536,611.833740,-0.104888,0.162442,-1.583217,370.505676,-1126.606689,296.163330,-0.041324,-0.084663,-1.612867,379.918762,-856.622070,335.559326,-0.012501,-0.038378,0.175616,400.234528,-1501.917969,319.062622,0.029974,0.006899,1.418984,831.109253,-1170.989746,284.258301,0.099282,0.051844,1.409381,843.018799,-882.144409,338.265411,0.021627,0.037419,-0.084549,735.146484,-1497.782593,300.346588,-0.065666,-0.033071,0.046211,550.383972,-1474.905396,-52.179703
60,0,-0.090693,0.006822,0.011954,581.704834,-1486.379028,306.719635,0.066210,0.024100,-0.060639,569.227844,-1504.266235,611.864685,-0.082537,0.208024,-1.584392,370.859039,-1124.765991,303.586487,-0.018775,-0.053818,-1.613252,381.071106,-856.658691,350.060760,-0.012206,-0.037589,0.175007,400.218994,-1501.650513,319.339691,0.045338,-0.023067,1.406870,831.338623,-1169.809326,290.638458,0.105484,0.033082,1.402100,843.147095,-882.555481,351.898895,0.021979,0.036305,-0.085329,735.087219,-1497.505615,300.605164,-0.066159,-0.032996,0.045439,550.325562,-1474.627808,-52.098110
61,0,-0.090307,0.006738,0.011622,581.667480,-1486.155884,306.978912,0.066555,0.023347,-0.060380,569.111938,-1504.218750,611.884338,-0.070746,0.230155,-1.577921,371.843903,-1124.280029,310.821686,-0.000672,-0.021328,-1.612649,382.237762,-857.113037,364.360443,-0.018695,-0.035604,0.168559,400.577515,-1500.601807,319.403778,0.057487,-0.044118,1.404619,831.192810,-1169.141357,296.909729,0.118317,0.008239,1.388493,843.045532,-883.906372,365.368256,0.024297,0.035809,-0.082814,734.896057,-1497.314331,300.919006,-0.065844,-0.032532,0.044970,550.272461,-1474.355591,-51.988319
62,0,-0.090161,0.007329,0.011780,581.648010,-1485.897461,307.183380,0.066214,0.023032,-0.059739,568.990906,-1504.167358,611.911621,-0.063361,0.238609,-1.578261,373.165527,-1124.543823,317.800812,-0.009586,0.001286,-1.611291,383.502899,-857.898071,378.045532,-0.017294,-0.036182,0.166776,400.542847,-1500.363159,319.666870,0.074886,-0.069766,1.404666,831.045410,-1168.257324,303.108307,0.135975,-0.016235,1.385780,843.024231,-885.012451,378.406586,0.023443,0.037129,-0.084791,735.003540,-1496.889160,301.079651,-0.064769,-0.032312,0.043497,550.257141,-1474.049316,-51.844707
63,0,-0.091251,0.007155,0.011887,581.576904,-1485.596313,307.316010,0.066299,0.022322,-0.058945,568.871704,-1504.058472,611.928223,-0.047072,0.269356,-1.567409,373.901093,-1124.081787,324.788483,0.005291,0.033397,-1.612254,384.731934,-859.057861,391.774811,-0.017140,-0.035264,0.166334,400.555664,-1500.036011,319.905029,0.085846,-0.088787,1.403516,830.975769,-1168.018921,309.195587,0.158757,-0.029594,1.403250,843.240417,-885.724182,390.743683,0.023270,0.036923,-0.085318,734.983521,-1496.538574,301.247131,-0.063659,-0.031709,0.042698,550.201660,-1473.760742,-51.686996
64,0,-0.092326,0.008014,0.012895,581.490112,-1485.264404,307.453308,0.065618,0.021771,-0.059134,568.755493,-1503.932495,611.947815,-0.038563,0.265148,-1.567114,375.905090,-1124.896729,331.373047,0.024824,0.063629,-1.613018,385.917816,-860.548218,405.362885,-0.016510,-0.034513,0.165919,400.545013,-1499.702026,320.141327,0.115009,-0.148718,1.374225,831.658752,-1165.656738,315.117004,0.188944,-0.053644,1.413611,843.094116,-887.241577,403.054993,0.025929,0.036046,-0.087547,735.039673,-1496.436768,301.618256,-0.062722,-0.031277,0.042251,550.149231,-1473.444458,-51.520855
65,0,-0.094173,0.007781,0.014007,581.328430,-1484.884033,307.532257,0.059916,0.023202,-0.049713,568.403320,-1503.653320,611.860901,-0.021940,0.310987,-1.561003,375.973938,-1123.988892,338.434021,0.077544,0.128430,-1.617455,387.266235,-862.129578,419.102448,-0.010518,-0.034503,0.165480,400.514313,-1499.724365,320.529510,0.114408,-0.112716,1.424817,829.879333,-1168.069580,320.971375,0.193848,-0.068187,1.402479,842.885193,-888.984131,415.289825,0.023361,0.034475,-0.094521,735.251038,-1495.823486,301.675018,-0.061905,-0.030994,0.041018,550.116638,-1473.099243,-51.337006
66,0,-0.094324,0.007383,0.013471,581.282898,-1484.549072,307.725372,0.060214,0.022251,-0.049670,568.283936,-1503.458374,611.876221,-0.000468,0.345706,-1.566576,377.040802,-1123.100464,345.231384,0.093597,0.162351,-1.615039,388.468536,-864.116211,432.194611,-0.010600,-0.034057,0.164463,400.540955,-1499.337158,320.719604,0.138613,-0.198434,1.355820,831.772705,-1165.030640,326.815430,0.208989,-0.087258,1.402107,842.535645,-890.927429,427.166687,0.023624,0.034274,-0.093214,735.118286,-1495.402344,301.893188,-0.061406,-0.030476,0.040313,550.081909,-1472.737183,-51.167492
67,0,-0.095632,0.007128,0.013413,581.219238,-1484.161621,307.863678,0.065995,0.019786,-0.057621,568.369629,-1503.299072,612.001465,0.020965,0.372102,-1.561377,377.998291,-1122.903809,351.758331,0.096415,0.183235,-1.614447,389.561707,-866.404541,444.925751,-0.007619,-0.033385,0.172149,400.183380,-1499.509033,321.081207,0.154598,-0.226102,1.355606,831.737854,-1164.586426,332.628967,0.256048,-0.125192,1.401615,842.146362,-893.342407,438.537109,0.025121,0.034008,-0.092232,735.002197,-1495.057739,302.157501,-0.060900,-0.030092,0.039976,550.021179,-1472.353638,-51.002090
68,0,-0.096500,0.007607,0.013777,581.193237,-1483.775024,307.994537,0.066054,0.018419,-0.057544,568.249695,-1502.994629,612.005371,0.018699,0.383275,-1.549754,378.054169,-1124.265015,358.063477,0.117022,0.210808,-1.611988,390.864258,-868.714600,457.502167,-0.009654,-0.032472,0.170976,400.229156,-1498.935669,321.271057,0.167392,-0.250549,1.353541,831.614624,-1164.452515,338.351135,0.261373,-0.141964,1.390804,841.491760,-895.667664,449.912659,0.024641,0.034143,-0.092360,734.985596,-1494.592041,302.295044,-0.059934,-0.029829,0.038912,549.990723,-1471.944214,-50.830814
69,0,-0.097362,0.008087,0.012434,581.291809,-1483.343140,308.143066,0.065401,0.017773,-0.057051,568.119507,-1502.688843,611.996033,0.033326,0.403707,-1.547285,378.830109,-1124.609375,364.438171,0.122744,0.232131,-1.610952,391.850952,-871.346436,469.809021,-0.013078,-0.032782,0.169216,400.224121,-1498.248535,321.379028,0.171573,-0.265767,1.353231,831.386292,-1165.116821,343.889465,0.276544,-0.164067,1.401118,840.750244,-898.077881,460.887238,0.028256,0.035843,-0.079334,734.372681,-1494.354248,302.626587,-0.060218,-0.029619,0.038144,549.956726,-1471.531372,-50.755116
70,0,-0.099756,0.007773,0.012120,581.240845,-1482.854736,308.173279,0.065610,0.016748,-0.056755,567.986572,-1502.345459,612.032410,0.039345,0.424292,-1.544771,379.323608,-1125.239746,370.414551,0.128079,0.254084,-1.603678,392.678802,-874.085205,481.923584,-0.006454,-0.032858,0.167984,400.270782,-1498.156494,321.823517,0.177924,-0.282896,1.354163,831.206055,-1165.767944,349.381134,0.289383,-0.186236,1.396635,839.893311,-900.720215,471.594971,0.024726,0.033723,-0.087892,734.723511,-1493.714478,302.639069,-0.059729,-0.029377,0.037643,549.912903,-1471.142700,-50.611614
71,0,-0.100920,0.008581,0.012009,581.255127,-1482.392212,308.295746,0.058639,0.018123,-0.046930,567.633179,-1501.890625,611.926575,0.061400,0.443359,-1.538822,380.083801,-1125.620483,376.866608,0.139805,0.272381,-1.602235,393.504211,-877.063965,493.838623,-0.005015,-0.031137,0.168061,400.367737,-1497.735107,322.158325,0.186110,-0.307433,1.350255,831.038147,-1166.018555,354.757782,0.298116,-0.206642,1.397021,838.995239,-903.459961,482.060059,0.025557,0.033908,-0.087801,734.732117,-1493.360596,302.879517,-0.059218,-0.028415,0.036776,549.908020,-1470.735840,-50.454376
72,0,-0.101769,0.008881,0.011510,581.301025,-1481.887695,308.458801,0.064337,0.014210,-0.055965,567.735779,-1501.572144,612.122131,0.075493,0.463091,-1.532448,380.535706,-1126.208862,382.886505,0.147559,0.287785,-1.597763,394.136169,-880.275818,505.469971,-0.007296,-0.029067,0.168675,400.492981,-1497.042603,322.384521,0.185184,-0.319314,1.350455,830.757568,-1167.272705,359.845734,0.303707,-0.224891,1.393566,838.011597,-906.348145,492.251404,0.031518,0.035212,-0.078048,734.336792,-1493.336914,303.332184,-0.057342,-0.028080,0.035194,549.926147,-1470.334839,-50.271397
73,0,-0.101551,0.009160,0.010563,581.318665,-1481.477905,308.664948,0.063563,0.012981,-0.055807,567.614807,-1501.089966,612.175415,0.092175,0.478325,-1.532430,381.700714,-1126.875854,388.781219,0.159814,0.306185,-1.592369,394.436707,-883.745911,516.844543,-0.009647,-0.027469,0.169396,400.552216,-1496.294678,322.582520,0.187277,-0.333189,1.351182,830.483398,-1168.372925,364.834290,0.312004,-0.246133,1.393288,836.965637,-909.352722,502.189514,0.031757,0.032177,-0.080535,734.317810,-1493.262939,303.916809,-0.057085,-0.027878,0.034086,549.932495,-1469.927490,-50.131752
74,0,-0.101418,0.009835,0.009602,581.343384,-1481.029297,308.876587,0.057947,0.014196,-0.047388,567.273193,-1500.483887,612.146912,0.113521,0.490850,-1.524848,381.999542,-1127.888184,394.746185,0.174925,0.325684,-1.587098,394.893890,-887.403625,527.875366,-0.006649,-0.029137,0.165785,400.536865,-1495.787476,322.865509,0.191847,-0.352339,1.346468,830.265564,-1169.223022,369.742249,0.312334,-0.262886,1.382707,835.856445,-912.460938,511.898804,0.032736,0.031372,-0.078632,734.139526,-1492.841919,304.114380,-0.056398,-0.028172,0.032394,549.925842,-1469.475220,-50.002789
