Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
103,0,0.004235,-0.012044,0.005906,561.862244,-1257.391479,299.339966,-0.143215,0.037670,-0.108607,554.725342,-1214.305664,632.814941,0.111403,-1.004309,-0.915701,334.563416,-1104.603149,73.362595,1.095000,-1.091898,-1.252521,298.372894,-873.279419,62.399391,0.020630,-0.051157,0.082312,382.178131,-1265.414307,305.794281,0.150301,1.213420,0.857367,806.298340,-1164.533813,90.887985,1.074845,1.231233,1.228345,818.779663,-904.838989,57.338421,0.032169,0.017899,-0.061011,714.492310,-1263.723633,292.388397,-0.080835,-0.047130,0.045656,536.493530,-1225.669189,-57.338440
104,0,0.002846,-0.011533,0.006555,561.903503,-1257.280151,299.308441,-0.149920,0.043387,-0.098667,554.679565,-1214.166504,632.664429,0.105384,-1.011864,-0.912133,334.867065,-1104.791016,72.835556,1.079153,-1.106495,-1.234956,297.562286,-873.280640,56.766052,0.022055,-0.052170,0.081546,382.176331,-1265.480835,305.864624,0.141994,1.219175,0.853729,806.091187,-1164.965088,90.624016,1.063810,1.251513,1.208576,819.023926,-905.252014,51.623756,0.031611,0.018809,-0.062457,714.645447,-1263.681763,292.392090,-0.080235,-0.047442,0.046015,536.488647,-1225.710205,-57.323997
105,0,0.002053,-0.011372,0.006719,561.939270,-1257.203735,299.300415,-0.149784,0.043398,-0.098894,554.719238,-1214.118408,632.633972,0.100292,-1.012008,-0.907880,334.974915,-1104.809448,71.993279,1.065449,-1.123401,-1.214387,296.773743,-873.422729,51.344299,0.022049,-0.052288,0.082267,382.191467,-1265.490479,305.875824,0.135246,1.221820,0.849913,805.914185,-1165.274292,90.246628,1.079263,1.196294,1.166563,818.947815,-906.073486,45.866066,0.029608,0.018848,-0.061344,714.632385,-1263.539551,292.318298,-0.080529,-0.047466,0.045226,536.537781,-1225.717651,-57.352798
106,0,0.001023,-0.011623,0.007083,561.909485,-1257.098145,299.250824,-0.143044,0.037772,-0.108837,554.838013,-1214.142822,632.739990,0.094387,-1.012062,-0.903382,335.059448,-1104.862793,71.138466,1.056927,-1.123354,-1.197934,296.177399,-873.842651,46.155792,0.020695,-0.051859,0.083163,382.206360,-1265.397583,305.859894,0.160259,1.158987,0.835905,805.713379,-1162.891235,86.441010,1.062045,1.213953,1.148298,819.165039,-906.630188,40.511192,0.028578,0.018079,-0.063961,714.735657,-1263.484131,292.305267,-0.080020,-0.047300,0.045868,536.517334,-1225.760010,-57.359406
107,0,0.000838,-0.011821,0.006107,561.952637,-1257.035522,299.273712,-0.142329,0.037377,-0.108827,554.870544,-1214.110962,632.712769,0.085326,-1.019807,-0.901706,335.303833,-1105.223022,70.616562,1.042548,-1.136026,-1.180259,295.554779,-874.336914,41.302723,0.017873,-0.051072,0.084282,382.211304,-1265.210449,305.798553,0.153865,1.164633,0.831079,805.432617,-1163.188965,86.211983,1.052004,1.224445,1.129654,819.455322,-907.291321,35.435009,0.028609,0.018056,-0.064773,714.763367,-1263.494019,292.321808,-0.079849,-0.047059,0.045693,536.529358,-1225.777954,-57.360317
108,0,0.000648,-0.011690,0.005820,561.951599,-1256.958130,299.290344,-0.142166,0.037695,-0.109240,554.876709,-1214.073853,632.681824,0.077156,-1.025459,-0.899452,335.516479,-1105.547729,70.052330,1.032873,-1.135528,-1.164807,295.094574,-874.995056,36.712238,0.020311,-0.051397,0.083964,382.187927,-1265.280762,305.896240,0.146137,1.169792,0.826892,805.224243,-1163.544922,85.959267,1.040407,1.237409,1.111474,819.673279,-908.045349,30.577482,0.028146,0.017551,-0.064307,714.674072,-1263.461304,292.353943,-0.079749,-0.047319,0.045366,536.532837,-1225.816650,-57.367203
109,0,-0.000369,-0.011458,0.006357,561.913452,-1256.817749,299.278809,-0.141046,0.037750,-0.109147,554.878296,-1214.026245,632.667908,0.068081,-1.027750,-0.896287,335.618958,-1105.824097,69.356598,1.019706,-1.143077,-1.145943,294.522217,-875.587524,32.318176,0.020445,-0.051041,0.084005,382.195251,-1265.202515,305.930115,0.108625,1.241120,0.832150,804.997070,-1166.413086,89.205231,1.030178,1.251319,1.091660,819.862671,-908.873047,25.913330,0.026608,0.017990,-0.066090,714.764404,-1263.340332,292.328125,-0.079654,-0.047301,0.045511,536.531494,-1225.841187,-57.371204
110,0,-0.001205,-0.011835,0.005917,561.904541,-1256.693115,299.286530,-0.140666,0.037989,-0.109918,554.842896,-1213.990601,632.629639,0.060930,-1.024158,-0.893337,335.591125,-1105.934692,68.516251,1.011176,-1.140554,-1.130491,293.962280,-876.250061,27.986980,0.016903,-0.049687,0.085025,382.226044,-1264.892944,305.886963,0.103271,1.242457,0.828341,804.780029,-1166.620483,88.778854,1.026569,1.264369,1.069652,819.977295,-909.781494,21.316425,0.024655,0.018717,-0.066018,714.768250,-1263.198364,292.285583,-0.079399,-0.047386,0.045044,536.548523,-1225.853027,-57.353451
111,0,-0.001567,-0.011977,0.006184,561.877747,-1256.590454,299.316498,-0.149989,0.040525,-0.116770,554.713928,-1214.172607,632.485596,0.051273,-1.023708,-0.892883,335.624084,-1106.207764,67.802757,0.996899,-1.144935,-1.119274,293.384491,-876.790771,23.691900,0.018123,-0.050664,0.083769,382.210205,-1264.865234,305.962128,0.124190,1.181369,0.818818,804.664612,-1164.534668,84.987038,1.002993,1.332014,1.068720,820.375305,-910.475464,16.899984,0.024077,0.018672,-0.066438,714.795349,-1263.096680,292.301666,-0.079600,-0.047527,0.045586,536.511536,-1225.887451,-57.343941
