Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
25,0,0.005111,0.023399,-0.092539,566.048401,-1477.425415,311.108582,0.027708,0.073620,-0.172350,556.308655,-1467.338257,619.275269,0.000425,-0.150327,-0.685879,185.418900,-1325.454468,207.088577,0.190084,0.210752,-1.461460,151.394211,-1119.571167,313.212463,-0.009993,0.016566,0.037732,388.147125,-1467.708740,325.160278,0.165467,0.308563,0.641064,942.414001,-1418.731934,211.582016,0.268388,-0.070531,1.456751,1000.366211,-1180.783691,315.236542,0.044344,0.013271,-0.030829,710.994446,-1491.017944,302.539093,-0.080182,-0.022488,-0.014529,531.322754,-1455.586914,-49.682350
26,0,0.004288,0.022400,-0.102916,564.915466,-1477.183716,311.266754,0.026099,0.072571,-0.178369,555.119446,-1466.796143,619.331970,-0.002808,-0.147159,-0.692518,185.537827,-1321.425903,207.070450,0.176805,0.195868,-1.470944,153.999420,-1115.056519,312.873627,-0.018738,0.013812,0.023332,387.153687,-1465.162109,324.950623,0.170636,0.302103,0.631220,941.884338,-1421.878784,211.604736,0.268012,-0.072748,1.446374,1002.074707,-1184.802490,315.407990,0.039289,0.013136,-0.047958,710.140869,-1491.401367,302.179932,-0.079019,-0.021033,-0.022290,530.341675,-1455.473511,-49.532833
27,0,0.002032,0.023678,-0.112026,563.749817,-1476.821899,311.349609,0.024536,0.071592,-0.186488,553.934570,-1466.229248,619.345825,-0.004099,-0.155704,-0.710980,186.301056,-1317.284546,207.163437,0.178602,0.195718,-1.481447,156.884354,-1110.276611,312.722107,-0.021835,0.012207,0.005724,386.268097,-1462.802734,324.905792,0.167248,0.300391,0.620103,941.237549,-1425.834717,211.795303,0.264918,-0.073310,1.436072,1003.867615,-1189.101440,315.576599,0.043847,0.015319,-0.045028,708.255432,-1492.829956,302.576508,-0.081108,-0.020786,-0.031291,529.274353,-1455.264771,-49.560280
28,0,0.000897,0.022203,-0.121798,562.333191,-1476.502441,311.452179,0.023059,0.069146,-0.196044,552.721558,-1465.643311,619.363770,-0.010841,-0.189566,-0.730715,188.283188,-1313.732178,207.487549,0.178648,0.194519,-1.490798,159.997223,-1105.249878,312.567078,-0.020605,0.009091,-0.003596,384.902130,-1460.695068,324.987823,0.171972,0.299129,0.604493,940.392029,-1429.455322,212.055588,0.263515,-0.074180,1.424056,1005.738953,-1193.727905,315.695068,0.043664,0.015066,-0.054499,706.727356,-1494.089233,302.755310,-0.080948,-0.020139,-0.039776,528.108215,-1455.086426,-49.488304
29,0,-0.001245,0.023330,-0.131551,560.918701,-1476.164062,311.518158,0.023574,0.068239,-0.204077,551.417786,-1464.995239,619.404907,-0.010406,-0.171823,-0.741473,187.960785,-1308.517944,207.354492,0.180680,0.194948,-1.502774,163.360077,-1099.991577,312.388275,-0.020650,0.007797,-0.018943,383.768402,-1458.342529,325.076569,0.171354,0.297493,0.595185,939.567200,-1433.802734,212.289169,0.263199,-0.076489,1.411620,1007.638672,-1198.660156,315.788879,0.042345,0.016877,-0.062218,705.068909,-1495.337769,302.844452,-0.080306,-0.019426,-0.050489,526.922424,-1454.862671,-49.410049
30,0,-0.004609,0.023435,-0.143211,559.425903,-1475.659302,311.479340,0.026842,0.072982,-0.211546,549.949463,-1464.295166,619.607178,-0.014345,-0.202891,-0.761143,190.116638,-1303.961548,207.552292,0.181774,0.193127,-1.514056,166.951248,-1094.459351,312.215485,-0.042280,0.014047,-0.025736,382.588318,-1454.847168,324.641449,0.172143,0.289520,0.581509,938.834045,-1438.069214,212.201401,0.274541,-0.092917,1.395171,1009.587891,-1204.312622,315.886719,0.043601,0.015166,-0.071558,703.129028,-1496.803833,303.048950,-0.079379,-0.019805,-0.061966,525.631897,-1454.628540,-49.328548
31,0,-0.005450,0.026561,-0.155604,558.004517,-1475.344360,311.655212,0.015887,0.066808,-0.218939,548.652283,-1463.773071,619.406799,-0.014191,-0.183058,-0.774579,189.950607,-1298.226196,207.355392,0.184379,0.192989,-1.529834,170.779922,-1088.711182,312.020844,-0.024001,0.004885,-0.048649,381.214630,-1453.111328,325.085480,0.174293,0.293048,0.569715,937.466553,-1442.722168,212.542770,0.308427,-0.140463,1.355760,1011.221191,-1210.291992,315.487152,0.041770,0.017262,-0.080851,701.284790,-1498.183960,303.172394,-0.080564,-0.018614,-0.071348,524.266479,-1454.300659,-49.342426
32,0,-0.004348,0.018820,-0.171813,556.167175,-1475.020020,311.804260,0.019641,0.062919,-0.232673,547.362061,-1462.943359,619.497925,-0.008731,-0.150453,-0.770454,189.292679,-1291.035278,207.089111,0.184618,0.193304,-1.542242,174.855927,-1082.698120,311.807373,-0.032104,0.009968,-0.055143,379.989777,-1450.046143,325.067566,0.175243,0.298434,0.556915,935.843079,-1447.714966,212.971054,0.304121,-0.141111,1.343961,1013.167847,-1216.007568,315.576904,0.042393,0.017426,-0.089425,699.124573,-1499.725586,303.362244,-0.080985,-0.017815,-0.084024,522.929199,-1453.942749,-49.266117
33,0,-0.001022,0.020563,-0.188525,554.705261,-1474.869263,312.231964,0.018422,0.061078,-0.243011,545.931274,-1462.165161,619.539551,-0.011442,-0.147411,-0.787585,190.065796,-1285.164062,207.078476,0.184883,0.192192,-1.556356,179.229324,-1076.482300,311.598450,-0.057927,0.017760,-0.062386,378.693237,-1446.043457,324.325439,0.173622,0.297741,0.544806,934.524597,-1452.904053,213.169174,0.303523,-0.141995,1.332726,1015.169128,-1221.994751,315.597321,0.041368,0.017696,-0.106067,697.248169,-1501.272827,303.569122,-0.082920,-0.018159,-0.096743,521.541138,-1453.475342,-49.289131
