Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
56,0,0.027443,-0.004893,-0.015573,557.004150,-1085.411011,311.549500,0.019284,0.023496,-0.177872,542.569580,-1067.636719,619.228394,-0.215229,0.015800,-0.295528,138.637100,-981.608643,292.959198,-0.143614,0.177254,-0.557238,-90.847130,-858.344727,350.516998,0.028887,-0.012764,0.000511,382.259460,-1081.477661,322.024902,-0.154292,-0.060229,0.223545,973.975342,-1020.140747,323.629791,-0.039647,-0.104507,0.492662,1219.924194,-874.290161,400.207855,0.049101,0.000031,-0.026119,706.095154,-1088.353638,305.558533,0.000003,-0.024180,0.018174,529.822998,-1053.945557,-50.072762
57,0,0.027640,-0.004831,-0.015743,556.991394,-1085.571899,311.495789,0.018908,0.024778,-0.177696,542.483032,-1067.854248,619.215027,-0.227157,0.035011,-0.302799,137.775665,-981.716003,292.720245,-0.142277,0.166346,-0.566440,-88.535934,-855.245422,350.934540,0.001694,-0.005212,0.007265,382.368958,-1080.268921,321.278320,-0.150448,-0.055700,0.227313,973.573914,-1020.422241,323.188873,-0.033512,-0.107480,0.510830,1217.501709,-871.668518,400.525391,0.049238,-0.000294,-0.026356,706.040833,-1088.527954,305.524078,0.000058,-0.024484,0.017730,529.817810,-1053.998535,-50.113918
58,0,0.028903,-0.004579,-0.015857,556.970642,-1085.799194,311.515503,0.015914,0.025975,-0.172700,542.289246,-1068.046509,619.184387,-0.228614,0.036241,-0.310227,137.991272,-981.497009,292.231506,-0.126797,0.163554,-0.584282,-86.145874,-852.162903,351.687073,0.038428,-0.015853,-0.002175,382.087860,-1082.321289,322.147064,-0.146155,-0.056620,0.227477,973.476929,-1020.554688,322.711365,-0.027887,-0.107986,0.526781,1214.927612,-869.030945,400.894897,0.048642,-0.001355,-0.026564,705.933350,-1088.657471,305.452271,-0.000029,-0.024197,0.017930,529.797546,-1054.083862,-50.143017
59,0,0.029655,-0.004816,-0.015986,556.949707,-1085.992310,311.489807,0.014832,0.026522,-0.172143,542.188904,-1068.298096,619.172485,-0.218881,0.010605,-0.319754,139.758942,-980.926697,291.614471,-0.134607,0.168769,-0.597505,-83.317162,-848.822266,351.881042,0.036549,-0.014916,-0.000920,382.074066,-1082.399902,322.065704,-0.156929,-0.048506,0.244966,973.123596,-1021.803955,322.613129,-0.029034,-0.103370,0.538214,1212.263428,-866.199890,401.374268,0.048119,-0.001807,-0.026284,705.862427,-1088.780029,305.363129,0.001233,-0.024402,0.017554,529.791077,-1054.155640,-50.135101
60,0,0.030360,-0.004778,-0.016115,556.944763,-1086.194824,311.470001,0.015412,0.022925,-0.169056,542.211731,-1068.471313,619.242859,-0.233233,0.031845,-0.319996,138.899826,-981.240051,291.338715,-0.131489,0.178999,-0.611639,-80.585304,-845.387207,352.405823,0.038242,-0.016140,-0.002138,382.022156,-1082.632446,322.039032,-0.155548,-0.044357,0.249312,972.807190,-1022.081604,322.349823,0.001156,-0.132521,0.573849,1209.252075,-863.556763,401.514435,0.046676,-0.001743,-0.026298,705.835999,-1088.837158,305.241150,0.001203,-0.023907,0.018291,529.743835,-1054.248169,-50.159985
61,0,0.030507,-0.004290,-0.015690,556.931396,-1086.365845,311.419617,0.015880,0.022824,-0.169421,542.164673,-1068.693604,619.245667,-0.227249,-0.004782,-0.325328,141.241226,-980.922302,290.782288,-0.130686,0.189656,-0.626025,-77.503288,-842.011658,352.988831,0.035985,-0.015782,-0.001655,382.011841,-1082.654419,321.897736,-0.165523,-0.042036,0.269067,972.711792,-1023.243042,322.167267,0.004448,-0.132676,0.592093,1206.239868,-860.605835,402.012878,0.047263,-0.002085,-0.025906,705.776672,-1089.027710,305.195129,0.000556,-0.024366,0.018191,529.720642,-1054.304321,-50.213394
62,0,0.030284,-0.005136,-0.015583,556.860352,-1086.509766,311.342346,0.015187,0.025423,-0.175336,542.061218,-1068.971558,619.155334,-0.229213,-0.001543,-0.331102,141.401840,-980.732849,290.272064,-0.129726,0.199146,-0.644287,-74.153763,-838.630371,353.706757,0.036203,-0.015059,-0.000957,382.015778,-1082.872559,321.871918,-0.137234,-0.054108,0.251039,972.994202,-1021.568665,321.274078,0.008302,-0.135547,0.611379,1203.012085,-857.583435,402.498199,0.046781,-0.002072,-0.026531,705.812500,-1089.150635,305.129822,0.000291,-0.024113,0.017910,529.705994,-1054.376465,-50.237759
63,0,0.030998,-0.004998,-0.015308,556.828369,-1086.713135,311.333496,0.018644,0.024526,-0.179254,542.141541,-1069.242310,619.205139,-0.227415,-0.008921,-0.339988,142.157578,-980.481689,289.730011,-0.129506,0.182701,-0.661911,-70.914314,-835.144836,354.588165,0.035591,-0.015141,-0.000032,381.969360,-1083.027954,321.782837,-0.134104,-0.047348,0.256299,972.473145,-1021.841980,320.943542,0.008890,-0.136668,0.630850,1199.628662,-854.482056,403.064087,0.047308,-0.001041,-0.026004,705.859070,-1089.337769,305.104919,0.001036,-0.024416,0.017455,529.709045,-1054.439575,-50.235931
64,0,0.031790,-0.005010,-0.015778,556.849426,-1086.926758,311.333954,0.019465,0.024033,-0.179422,542.136719,-1069.458984,619.217407,-0.228523,-0.003511,-0.346017,142.222595,-980.343262,289.206512,-0.136286,0.182706,-0.686714,-67.463760,-831.546875,355.229340,0.034677,-0.014675,0.001165,381.946228,-1083.181763,321.682251,-0.129105,-0.043871,0.260452,972.127747,-1021.984924,320.528931,0.011909,-0.138544,0.649725,1196.063599,-851.416504,403.571075,0.049795,-0.001971,-0.024793,705.721313,-1089.667480,305.221283,0.001578,-0.024695,0.017648,529.681458,-1054.526367,-50.227467
65,0,0.031961,-0.005628,-0.015160,556.757385,-1087.097412,311.285400,0.019604,0.023439,-0.180483,542.117249,-1069.712402,619.241150,-0.230479,-0.003875,-0.354943,142.567932,-980.336182,288.748810,-0.139648,0.202320,-0.696147,-63.596264,-828.032715,355.642059,0.033863,-0.014735,0.002096,381.900513,-1083.347534,321.599823,-0.123721,-0.044971,0.264484,972.064209,-1022.048096,320.048370,0.019645,-0.146464,0.670082,1192.358276,-848.439392,404.074280,0.049786,-0.000327,-0.024035,705.775208,-1089.854004,305.185699,0.001101,-0.024772,0.018154,529.656738,-1054.606689,-50.246670
66,0,0.032775,-0.005529,-0.015243,556.749939,-1087.317139,311.269592,0.028975,0.025507,-0.177189,541.871582,-1069.632690,619.391479,-0.230409,-0.005787,-0.363204,143.070023,-980.234924,288.305267,-0.145529,0.202886,-0.723173,-59.517475,-824.736694,356.156830,0.033254,-0.013650,0.003430,381.890625,-1083.518188,321.539398,-0.121437,-0.045345,0.273840,972.002930,-1022.376404,319.586212,0.019767,-0.136552,0.697061,1188.850342,-845.440674,404.594604,0.050465,-0.000637,-0.025748,705.821472,-1090.070801,305.178802,0.001264,-0.025054,0.017563,529.649597,-1054.670654,-50.251259
67,0,0.033428,-0.005574,-0.015510,556.737610,-1087.530029,311.249542,0.027724,0.026942,-0.175969,541.765991,-1069.881592,619.398804,-0.228457,-0.007781,-0.371931,143.622971,-979.987366,287.837250,-0.141220,0.195511,-0.738783,-55.687496,-821.269470,356.898102,0.034963,-0.015563,0.001397,381.798004,-1083.748413,321.465637,-0.116758,-0.042129,0.281016,971.607178,-1022.529602,319.020874,0.027955,-0.145969,0.711313,1184.867432,-842.546326,405.084900,0.050553,-0.001542,-0.026043,705.760986,-1090.247925,305.149872,0.001192,-0.024920,0.018014,529.611633,-1054.741943,-50.275440
68,0,0.033679,-0.005989,-0.016058,556.729919,-1087.699951,311.190033,0.017559,0.025659,-0.177795,541.835449,-1070.439087,619.307495,-0.229562,-0.003224,-0.379719,143.743683,-979.738342,287.361176,-0.138932,0.205246,-0.756503,-51.831802,-817.617554,357.405884,0.036891,-0.015665,0.000697,381.778076,-1084.055542,321.461334,-0.111501,-0.040387,0.285381,971.348022,-1022.583984,318.553284,0.033892,-0.155390,0.735273,1180.614380,-839.589478,405.568115,0.050645,-0.001291,-0.025896,705.729736,-1090.437134,305.077026,0.001775,-0.024735,0.018033,529.588806,-1054.804810,-50.268196
69,0,0.033267,-0.005527,-0.015636,556.712097,-1087.842651,311.087097,0.016489,0.025552,-0.178343,541.723755,-1070.659546,619.325195,-0.232277,-0.002581,-0.387870,144.112991,-979.697937,286.956146,-0.136316,0.225226,-0.769116,-47.743900,-814.327759,357.956146,0.033980,-0.015015,0.001115,381.769409,-1084.064819,321.305176,-0.112536,-0.039813,0.297595,971.224182,-1023.087280,318.182922,0.034300,-0.153713,0.754555,1176.540771,-836.613831,406.072845,0.057137,-0.003304,-0.042422,706.462524,-1091.288330,305.389648,0.001302,-0.024663,0.018233,529.570740,-1054.852539,-50.317165
70,0,0.034740,-0.005687,-0.014721,556.635681,-1088.099976,311.084229,0.014849,0.027315,-0.179742,541.656067,-1070.906494,619.321716,-0.234197,-0.002110,-0.394391,144.520004,-979.606750,286.520233,-0.138788,0.211558,-0.787696,-43.679108,-810.936279,358.553436,0.033646,-0.015450,-0.000857,381.771515,-1084.214111,321.227966,-0.110606,-0.037970,0.307873,970.906189,-1023.360962,317.788177,0.036986,-0.155397,0.777148,1172.308350,-833.676392,406.570343,0.056024,-0.003229,-0.043385,706.498230,-1091.368774,305.265106,0.001112,-0.025063,0.018269,529.534973,-1054.896606,-50.351902
71,0,0.035926,-0.005992,-0.015050,556.626465,-1088.335083,311.077637,0.028757,0.023291,-0.171449,541.414978,-1070.702026,619.630371,-0.235838,-0.003731,-0.403992,145.003372,-979.436890,286.082520,-0.133489,0.213609,-0.818775,-39.287010,-807.500000,359.250946,0.036484,-0.016502,-0.002306,381.739441,-1084.520264,321.204803,-0.102622,-0.044546,0.310252,970.998108,-1023.057556,317.218140,0.029443,-0.141370,0.801163,1168.309937,-830.769531,407.101990,0.057964,-0.002306,-0.039606,706.307861,-1091.651855,305.280548,0.001376,-0.025200,0.017191,529.554443,-1054.949097,-50.369816
