Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
330,0,-0.010959,-0.028484,-0.161962,80.363319,-1690.213013,309.078949,-0.045848,0.076317,-0.036273,110.209045,-1663.291382,616.558167,-0.218003,-0.206229,-1.412094,-194.227814,-1414.895630,181.684647,0.134735,-0.157605,3.800958,-20.372084,-1252.865723,203.594803,0.018198,-0.082525,0.067216,-101.337555,-1680.848633,313.598267,0.239307,0.842821,0.982929,454.002808,-1605.449585,149.686325,0.308877,1.747360,1.461050,375.892975,-1331.663208,101.454712,-0.014196,0.038855,-0.365753,234.063278,-1725.341187,303.770447,-0.059237,-0.047986,-0.067557,68.369514,-1654.417358,-47.244434
331,0,-0.010437,-0.028520,-0.166240,78.942856,-1690.023438,309.050598,-0.048072,0.077959,-0.036068,108.992104,-1663.037598,616.559448,-0.225395,-0.208555,-1.419649,-194.145782,-1413.817017,181.033234,0.137067,-0.167571,3.793666,-18.944918,-1252.975464,202.592529,0.018927,-0.080801,0.064142,-102.638420,-1679.889526,313.534790,0.238482,0.857044,0.984817,452.185944,-1607.895508,149.038361,0.317508,1.690655,1.451716,376.722809,-1333.627808,101.267189,-0.014964,0.038981,-0.371454,232.568039,-1725.821899,303.722931,-0.059459,-0.047995,-0.071032,67.225067,-1654.058594,-47.282261
332,0,-0.010284,-0.029570,-0.170872,77.533615,-1689.833374,308.997345,-0.048685,0.077953,-0.040059,107.855202,-1662.803467,616.600708,-0.228995,-0.210561,-1.426336,-194.100693,-1412.637939,180.445938,0.153454,-0.191930,3.788987,-17.709478,-1253.031372,201.754593,0.023585,-0.084303,0.060685,-104.192741,-1679.221313,313.511841,0.245578,0.837617,0.977490,450.829315,-1608.849731,147.108688,0.337022,1.671184,1.454625,376.177338,-1335.549194,100.046219,-0.016820,0.038087,-0.375371,230.979218,-1726.181763,303.609436,-0.060090,-0.048239,-0.074473,66.141205,-1653.769165,-47.321182
333,0,-0.010877,-0.030095,-0.175296,76.202240,-1689.601440,308.878784,-0.048878,0.077096,-0.041889,106.715286,-1662.556030,616.651306,-0.233263,-0.217433,-1.430954,-193.949341,-1411.729370,180.005035,0.146210,-0.213978,3.785519,-16.917631,-1252.662598,201.091171,0.023919,-0.081381,0.054095,-105.157532,-1678.213013,313.456970,0.240522,0.848104,0.978802,449.483093,-1611.230957,146.649857,0.327818,1.661394,1.483451,375.435181,-1336.969482,99.022575,-0.016539,0.038748,-0.379978,229.567459,-1726.676880,303.586426,-0.060341,-0.048091,-0.078491,65.099327,-1653.486938,-47.357162
334,0,-0.012547,-0.029867,-0.177661,74.844025,-1689.326294,308.715240,-0.048900,0.075506,-0.045121,105.620010,-1662.311768,616.698364,-0.274184,-0.470175,-1.475080,-187.848923,-1418.553223,183.202026,0.160532,-0.224264,3.779393,-16.289326,-1251.962891,200.235870,0.022300,-0.081226,0.050264,-106.357292,-1677.171997,313.284454,0.231414,0.862618,0.969996,448.060669,-1613.534302,146.457611,0.370295,1.630388,1.466852,374.966522,-1339.312744,98.231529,-0.015920,0.038058,-0.384391,228.104721,-1727.181519,303.624023,-0.059955,-0.048398,-0.081626,64.089394,-1653.277100,-47.371567
335,0,-0.013080,-0.029970,-0.182247,73.709038,-1689.136353,308.635468,-0.050506,0.075670,-0.046439,104.547943,-1662.068726,616.693726,-0.228667,-0.394283,-1.477202,-189.045227,-1414.102051,180.924774,0.149026,-0.212587,3.779328,-16.075174,-1250.572021,199.500626,0.008441,-0.079236,0.048633,-107.477272,-1675.556152,312.781860,0.225022,0.880294,0.969451,446.706146,-1615.854858,146.595459,0.381227,1.608617,1.468151,374.434875,-1341.276001,97.912773,-0.016632,0.036686,-0.388213,226.698669,-1727.569824,303.576324,-0.058198,-0.048520,-0.083681,63.047806,-1653.103882,-47.371071
336,0,-0.012833,-0.029971,-0.185609,72.530952,-1688.984741,308.612518,-0.050902,0.076059,-0.048611,103.535561,-1661.820557,616.707520,-0.225461,-0.378761,-1.465434,-189.146225,-1412.048584,180.227859,0.146406,-0.197731,3.775932,-16.021029,-1249.096680,198.816879,0.018804,-0.080815,0.043589,-108.608597,-1675.295532,312.980774,0.218655,0.869964,0.961997,445.818817,-1617.223755,145.488480,0.363658,1.604663,1.498899,373.643829,-1342.390869,97.644531,-0.018291,0.036855,-0.391186,225.412994,-1727.883179,303.488647,-0.060105,-0.049900,-0.088154,62.202583,-1652.963379,-47.504070
337,0,-0.013079,-0.030624,-0.189803,71.456520,-1688.844360,308.548737,-0.049487,0.074628,-0.055663,102.586403,-1661.601074,616.749268,-0.220883,-0.371051,-1.462402,-189.313568,-1410.549805,179.763779,0.137903,-0.187857,3.773680,-15.903963,-1247.789062,198.270920,0.011722,-0.078229,0.042553,-109.579361,-1674.198486,312.736908,0.221748,0.876212,0.960266,444.472626,-1618.656982,145.258499,0.382589,1.589423,1.493410,373.104736,-1344.075684,97.252716,-0.018474,0.037060,-0.395181,224.221542,-1728.313599,303.488098,-0.060298,-0.050291,-0.091640,61.326275,-1652.805542,-47.597198
338,0,-0.014407,-0.030250,-0.192274,70.353386,-1688.683472,308.448059,-0.052206,0.075289,-0.054027,101.592712,-1661.312012,616.769836,-0.221090,-0.365222,-1.465207,-189.647339,-1409.298828,179.474350,0.134361,-0.182198,3.769104,-15.797980,-1246.749390,197.904572,0.015065,-0.078987,0.039369,-110.613197,-1673.722290,312.741882,0.232628,0.872783,0.963287,443.361633,-1619.353760,144.653595,0.366968,1.592153,1.502001,372.567444,-1345.104858,96.714043,-0.019668,0.036568,-0.398253,223.000900,-1728.670654,303.457703,-0.060483,-0.050069,-0.093973,60.463116,-1652.743652,-47.585609
