Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
164,0,0.041244,-0.065251,1.531609,794.206299,-1936.441162,294.109039,-0.127292,0.007405,1.568540,767.703369,-1926.879883,609.456848,0.374178,-0.342564,0.234970,499.118896,-2175.604004,140.728958,0.249384,-0.121280,-0.054789,238.153778,-2180.719482,87.225258,0.154489,-0.025925,1.837455,817.581177,-2118.843506,293.649139,-0.263903,1.397834,2.429685,540.663147,-1650.223389,147.949112,-0.199849,0.434878,3.051946,246.841217,-1631.734985,115.373718,-0.008633,-0.012474,1.318141,809.042114,-1778.734253,293.152954,0.092900,-0.049716,1.645724,750.843506,-1943.153320,-60.158974
165,0,0.041531,-0.067195,1.530878,794.167908,-1936.348145,294.069153,-0.127606,0.005843,1.567701,767.868225,-1926.918213,609.272583,0.367427,-0.335167,0.237873,498.745178,-2175.890381,140.778076,0.251188,-0.133189,-0.060212,237.880920,-2180.922852,87.431770,0.154329,-0.026726,1.837520,817.615356,-2118.756836,293.621552,-0.263922,1.397801,2.433765,540.366699,-1650.478149,148.061615,-0.201442,0.431994,3.055398,246.416321,-1632.346924,115.646690,-0.009049,-0.014113,1.318202,808.935242,-1778.639038,293.142731,0.092277,-0.049878,1.646435,750.864685,-1943.029663,-60.199608
166,0,0.040716,-0.067422,1.530741,794.129639,-1936.160889,294.024994,-0.127833,0.005930,1.568257,768.035706,-1926.956421,609.140320,0.367783,-0.334682,0.238019,498.738037,-2175.848633,141.094910,0.246447,-0.114698,-0.057921,237.832474,-2180.873779,87.590508,0.155837,-0.025145,1.836660,817.765991,-2118.588135,293.663330,-0.262776,1.397207,2.433861,540.057556,-1650.762329,148.167587,-0.195613,0.433455,3.055915,246.200348,-1632.899292,115.838486,-0.009036,-0.013690,1.318596,808.889282,-1778.472778,293.176636,0.092704,-0.049226,1.646538,750.899841,-1942.875854,-60.204803
167,0,0.039849,-0.069058,1.530465,794.035889,-1936.023315,293.956665,-0.125300,0.008579,1.569203,768.236023,-1927.008545,609.106567,0.368315,-0.334936,0.237660,498.769348,-2175.777100,141.241760,0.250651,-0.125268,-0.059525,237.824295,-2181.037842,87.725067,0.155350,-0.026448,1.836684,817.746948,-2118.504639,293.598602,-0.262710,1.398090,2.433975,539.896240,-1650.953369,148.253571,-0.190772,0.436533,3.055960,246.081329,-1633.277710,115.929939,-0.008279,-0.014441,1.319929,808.814087,-1778.471069,293.259338,0.092362,-0.049699,1.645839,750.912231,-1942.702026,-60.193050
168,0,0.038818,-0.069671,1.530129,793.989807,-1935.837402,293.918457,-0.125055,0.009500,1.570061,768.386841,-1927.004395,609.055664,0.369179,-0.336017,0.236834,498.908173,-2175.722168,141.366440,0.251510,-0.124616,-0.058581,237.939697,-2181.167480,87.784012,0.145768,-0.020038,1.841089,817.874146,-2117.866699,294.084015,-0.260667,1.398094,2.433426,539.729919,-1651.044556,148.204010,-0.189824,0.440025,3.054855,246.038147,-1633.585571,115.974968,-0.008983,-0.014469,1.320910,808.752502,-1778.337402,293.264099,0.092514,-0.049601,1.644238,750.940369,-1942.487183,-60.174210
169,0,0.039280,-0.068071,1.531373,794.096619,-1935.726440,294.011841,-0.123749,0.010661,1.571157,768.523376,-1927.015381,609.037781,0.367802,-0.336228,0.237170,499.095520,-2175.843994,141.337143,0.247554,-0.117350,-0.052297,238.151520,-2181.206543,87.803047,0.147704,-0.020782,1.839718,817.894165,-2117.789795,293.987701,-0.261228,1.400402,2.432803,539.741943,-1651.019653,148.169617,-0.188934,0.441807,3.054420,246.089798,-1633.867188,116.074181,-0.008907,-0.015435,1.321490,808.672974,-1778.269653,293.293030,0.094084,-0.049421,1.644315,750.985474,-1942.341797,-60.086880
170,0,0.037646,-0.067730,1.531290,794.049377,-1935.493164,293.982819,-0.122765,0.011560,1.572827,768.623718,-1926.985962,608.990356,0.367524,-0.336704,0.237531,499.379303,-2176.014404,141.266037,0.254426,-0.118797,-0.055625,238.402618,-2181.535645,87.948204,0.145730,-0.021125,1.841183,817.929565,-2117.634521,293.997772,-0.264050,1.402477,2.432352,539.915039,-1650.858521,148.114182,-0.189307,0.443967,3.054361,246.138885,-1634.028809,116.088448,-0.008747,-0.015058,1.321610,808.632324,-1778.090942,293.311340,0.093902,-0.049037,1.644048,750.995911,-1942.173462,-60.052799
171,0,0.039124,-0.067156,1.532621,794.147827,-1935.469360,294.070953,-0.122935,0.011062,1.573362,768.698181,-1926.935669,608.917419,0.368435,-0.339137,0.237909,499.790344,-2176.202393,141.241364,0.259645,-0.111025,-0.052421,238.713455,-2181.819580,88.008469,0.146668,-0.021521,1.839851,817.937317,-2117.505127,293.930084,-0.266908,1.402740,2.430052,540.097717,-1650.658203,148.002792,-0.186908,0.446911,3.056018,246.260269,-1634.188721,116.092796,-0.026484,-0.021831,1.323266,807.825012,-1777.611938,292.357788,0.095444,-0.048885,1.641718,751.048645,-1941.958130,-59.987999
172,0,0.038267,-0.066784,1.533254,794.170837,-1935.301880,294.048553,-0.122057,0.010898,1.574186,768.760010,-1926.884888,608.837769,0.369043,-0.338611,0.239821,500.074921,-2176.510254,141.113480,0.260850,-0.111890,-0.052736,239.044266,-2182.132324,88.024406,0.097560,-0.070823,1.848624,814.935181,-2117.974854,292.504303,-0.267422,1.404394,2.428935,540.282898,-1650.410767,147.884857,-0.187759,0.448066,3.056485,246.481293,-1634.292114,116.171059,-0.025504,-0.021596,1.324226,807.778198,-1777.524048,292.391907,0.096355,-0.049029,1.642050,751.057678,-1941.812866,-59.975830
