Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.001103,-0.036129,0.012048,259.125519,-1744.321655,320.465759,0.189220,0.051091,-0.182864,239.562790,-1733.305908,588.075439,0.149759,0.111724,0.041244,-155.066635,-1696.978516,303.413208,0.176293,-0.004244,0.071534,-428.730133,-1725.841553,330.824097,-0.059779,-0.021620,0.174012,83.698074,-1752.268311,326.067749,0.471159,0.030221,0.015043,663.622925,-1679.963257,302.545685,0.362848,0.196091,-0.011021,967.296570,-1671.367188,347.978424,-0.059295,-0.015851,-0.067515,410.310181,-1740.103638,317.406433,-0.001941,-0.057069,0.094174,245.245300,-1723.484741,-44.890442
2,0,-0.000643,-0.035874,0.012499,259.143890,-1744.228027,320.347443,0.189263,0.050933,-0.183743,239.506149,-1733.310791,588.098694,0.179754,0.080581,0.034900,-153.447968,-1695.596069,303.506897,0.177474,-0.004667,0.070565,-428.693695,-1725.677734,330.694122,-0.059153,-0.021036,0.174065,83.768471,-1752.296509,326.069580,0.471484,0.029558,0.014829,663.721008,-1679.970825,302.597717,0.363552,0.198575,-0.010412,967.382141,-1671.437256,348.062012,-0.059359,-0.016020,-0.068006,410.360870,-1740.111084,317.400330,-0.001682,-0.057621,0.093831,245.323380,-1723.440796,-44.906200
3,0,0.000653,-0.036069,0.011969,259.200684,-1744.300415,320.401978,0.188690,0.050863,-0.183935,239.455093,-1733.291016,588.096924,0.178531,0.089004,0.039447,-153.898804,-1695.657715,303.451294,0.177947,-0.004276,0.069546,-428.621521,-1725.464844,330.535339,-0.061021,-0.020714,0.173368,83.827202,-1752.172974,325.972687,0.472151,0.029377,0.014570,663.777100,-1679.933716,302.647247,0.364063,0.200060,-0.010358,967.464478,-1671.503784,348.145874,-0.058955,-0.016464,-0.068054,410.381531,-1740.148071,317.415710,-0.001221,-0.057624,0.094382,245.380997,-1723.408447,-44.914928
4,0,0.000403,-0.035675,0.012487,259.241974,-1744.299927,320.369415,0.189042,0.050682,-0.184243,239.406830,-1733.289551,588.094666,0.179326,0.088360,0.039152,-153.807678,-1695.527710,303.351410,0.177417,-0.001440,0.069147,-428.574341,-1725.283203,330.462646,-0.059002,-0.020791,0.174009,83.872093,-1752.294067,325.996277,0.472802,0.029113,0.013622,663.858398,-1679.876221,302.711670,0.363874,0.201676,-0.010112,967.560303,-1671.563477,348.233093,-0.058838,-0.016397,-0.067935,410.437286,-1740.171265,317.409668,-0.000658,-0.057847,0.094267,245.458298,-1723.396729,-44.926285
5,0,0.001412,-0.036727,0.011191,259.329254,-1744.341187,320.374176,0.195591,0.046116,-0.190991,239.588638,-1733.143311,588.189087,0.179066,0.088482,0.039092,-153.762283,-1695.460449,303.256653,0.177488,-0.004470,0.067924,-428.515839,-1725.097290,330.357422,-0.060174,-0.021052,0.173481,83.916275,-1752.213013,325.911133,0.472392,0.028863,0.013788,663.917603,-1679.894897,302.758728,0.363574,0.200601,-0.010208,967.604065,-1671.629639,348.313385,-0.058805,-0.015921,-0.067857,410.507263,-1740.197266,317.406036,-0.000675,-0.057907,0.093810,245.568848,-1723.350586,-44.959900
6,0,-0.000209,-0.036123,0.012635,259.308746,-1744.271118,320.273560,0.195415,0.045877,-0.191563,239.535431,-1733.151123,588.197083,0.180954,0.076950,0.033029,-153.085388,-1695.214233,303.160126,0.176744,-0.005796,0.067348,-428.458862,-1724.874756,330.251129,-0.058543,-0.021241,0.174430,83.943916,-1752.314209,325.924103,0.472035,0.026924,0.013560,664.083496,-1679.916138,302.778748,0.363222,0.200876,-0.010289,967.661682,-1671.692993,348.436554,-0.058754,-0.016074,-0.067926,410.539246,-1740.210205,317.398315,-0.000228,-0.058404,0.093948,245.625336,-1723.347656,-44.970608
7,0,0.000448,-0.035821,0.012058,259.415253,-1744.300781,320.289459,0.188734,0.049456,-0.186659,239.259827,-1733.296509,588.135254,0.180259,0.077366,0.032960,-153.074860,-1695.203857,303.096130,0.178324,-0.003255,0.066937,-428.439575,-1724.649658,330.221100,-0.057591,-0.021412,0.174177,83.986710,-1752.394897,325.920349,0.472692,0.026236,0.012599,664.164612,-1679.883057,302.841339,0.363262,0.199863,-0.010689,967.682068,-1671.742554,348.548492,-0.058528,-0.016017,-0.066965,410.529053,-1740.217041,317.398132,0.000065,-0.057958,0.094457,245.686325,-1723.332520,-44.971241
8,0,0.000939,-0.036998,0.011222,259.441803,-1744.319458,320.290070,0.188418,0.049338,-0.186805,239.209305,-1733.301147,588.139648,0.179859,0.078208,0.033260,-153.110352,-1695.141479,303.050964,0.176303,-0.006576,0.067043,-428.404907,-1724.473877,330.093964,-0.061381,-0.021588,0.174049,84.002884,-1752.162598,325.752167,0.472793,0.027013,0.013304,664.155212,-1679.951660,302.902740,0.363815,0.199847,-0.010977,967.726318,-1671.800781,348.643555,-0.059017,-0.016114,-0.067318,410.596283,-1740.200073,317.360199,0.000084,-0.058178,0.094050,245.774200,-1723.297241,-45.009083
9,0,-0.000345,-0.036548,0.012253,259.447021,-1744.260742,320.199249,0.188175,0.048735,-0.187166,239.184631,-1733.320801,588.152527,0.179792,0.077094,0.032331,-153.000259,-1695.041748,302.973755,0.177193,-0.006617,0.067182,-428.393219,-1724.350098,330.043121,-0.058812,-0.021032,0.174376,84.085258,-1752.319092,325.836029,0.473154,0.027115,0.013919,664.201416,-1680.003906,302.963043,0.363844,0.199666,-0.010902,967.780212,-1671.857178,348.733337,-0.058139,-0.015973,-0.067093,410.638214,-1740.264282,317.385529,0.000047,-0.058112,0.094293,245.843353,-1723.281738,-45.030209
