Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
152,0,-0.078527,-0.090921,-0.158801,287.982971,-1620.303101,293.058655,-0.039035,0.074538,-0.316786,279.787537,-1576.434937,595.596863,-0.182872,-0.795470,-0.885379,33.917023,-1478.842407,53.181934,0.263388,-0.523887,-1.941000,105.383118,-1255.223145,54.182755,-0.078780,-0.124288,0.158092,104.571175,-1616.766479,286.301697,-0.122198,1.260342,0.084145,579.367981,-1699.677368,136.412430,-0.044451,1.462771,0.442254,641.675659,-1531.829102,-92.886017,-0.101670,-0.038154,-0.363703,441.526581,-1653.465820,298.831085,0.017199,-0.103692,-0.073682,297.275024,-1603.842529,-65.601578
153,0,-0.073559,-0.092858,-0.166480,287.200195,-1613.850830,294.640228,-0.041562,0.073024,-0.321325,278.520081,-1569.349609,597.093018,-0.188766,-0.796013,-0.890254,33.968681,-1470.711914,53.275013,0.258843,-0.524731,-1.941333,106.565987,-1247.241943,53.096741,-0.085057,-0.127166,0.143439,104.220253,-1608.482422,286.930084,-0.118429,1.259646,0.081141,577.455933,-1694.057495,137.845123,-0.046716,1.458585,0.431208,641.942871,-1526.626221,-91.574867,-0.100581,-0.039288,-0.364440,440.332397,-1647.254272,300.367645,0.018391,-0.104229,-0.077374,296.928925,-1597.079956,-64.400856
154,0,-0.077086,-0.091037,-0.168470,286.266266,-1607.067505,295.646301,-0.053228,0.075895,-0.328239,277.085510,-1562.498535,598.316345,-0.193904,-0.797371,-0.896642,34.111637,-1462.642334,53.433506,0.246474,-0.521424,-1.946321,107.915421,-1239.423950,52.173229,-0.080637,-0.125725,0.155370,102.723648,-1602.232422,288.244629,-0.112678,1.255041,0.074742,575.743958,-1688.167358,139.045547,-0.039747,1.447430,0.410949,642.214294,-1521.678467,-90.205505,-0.102229,-0.041505,-0.368686,439.247864,-1641.025757,301.666962,0.017226,-0.103827,-0.079392,296.406219,-1590.430542,-63.366108
155,0,-0.078813,-0.092481,-0.172468,285.277740,-1600.348267,296.600494,-0.051405,0.072323,-0.321874,275.857025,-1555.496582,599.487732,-0.198596,-0.803170,-0.900602,34.316422,-1454.546753,53.786449,0.238610,-0.521384,-1.949824,109.252632,-1231.745850,51.445507,-0.108921,-0.124683,0.141924,102.421402,-1592.781616,287.962219,-0.107366,1.255693,0.068776,574.199097,-1682.152954,140.507751,-0.040694,1.467318,0.400652,642.498474,-1516.310669,-89.590683,-0.101865,-0.042546,-0.370288,438.013885,-1634.952881,302.964844,0.018177,-0.104322,-0.085165,295.823120,-1583.948853,-62.389191
156,0,-0.079324,-0.095743,-0.178066,284.194427,-1593.714600,297.484741,-0.049647,0.069921,-0.328048,274.685944,-1548.689453,600.444519,-0.203256,-0.805825,-0.907259,34.434277,-1446.506958,53.957680,0.232758,-0.518594,-1.953534,110.674751,-1224.109619,50.767868,-0.096020,-0.127383,0.134172,101.418396,-1585.974121,289.249756,-0.102307,1.256484,0.062851,572.905151,-1676.218140,141.919479,-0.035441,1.462183,0.383157,643.062134,-1511.433228,-88.344269,-0.103260,-0.043797,-0.374060,436.805725,-1628.871948,304.043030,0.017218,-0.102710,-0.090143,295.132080,-1577.595581,-61.571064
157,0,-0.081033,-0.095449,-0.183417,283.205261,-1587.059570,298.247864,-0.047677,0.062931,-0.330412,273.648163,-1542.055786,601.246582,-0.209844,-0.809584,-0.913981,34.514809,-1438.585693,54.087608,0.226889,-0.518524,-1.958210,112.073532,-1216.525635,50.059738,-0.088190,-0.128688,0.140533,99.769875,-1579.577148,290.177917,-0.105106,1.249192,0.059581,571.931335,-1670.759521,142.769440,-0.053177,1.513234,0.376784,643.357361,-1505.932739,-88.352478,-0.106287,-0.044967,-0.379567,435.634277,-1622.780273,304.869843,0.016145,-0.101952,-0.096458,294.294342,-1571.424561,-60.920589
158,0,-0.083203,-0.096098,-0.188067,282.091705,-1580.264893,298.829071,-0.058775,0.062693,-0.345486,272.470673,-1535.772095,601.587341,-0.214927,-0.809333,-0.920181,34.400116,-1430.574707,54.014835,0.214697,-0.526686,-1.963763,113.440224,-1209.104126,49.317062,-0.085179,-0.130512,0.133162,98.719521,-1572.079102,290.731598,-0.104921,1.245347,0.060120,571.092712,-1665.416016,143.707626,-0.029692,1.487096,0.352561,643.858948,-1501.700439,-86.960159,-0.107430,-0.045633,-0.383033,434.256439,-1616.834473,305.631989,0.016558,-0.101512,-0.104048,293.415009,-1565.386841,-60.336704
159,0,-0.086636,-0.097069,-0.192605,280.940308,-1573.402344,299.207214,-0.054030,0.056790,-0.345695,271.617004,-1529.123901,602.127991,-0.219592,-0.804937,-0.928548,34.215588,-1422.595215,53.738605,0.208237,-0.535394,-1.971379,114.901558,-1201.670898,48.558651,-0.086747,-0.131313,0.126470,97.713776,-1564.241455,291.138336,-0.097281,1.250252,0.053761,570.316833,-1659.567749,144.997131,-0.025656,1.500126,0.342939,644.297180,-1496.801392,-86.642105,-0.108672,-0.045340,-0.389169,433.050171,-1610.966187,306.246674,0.015374,-0.101173,-0.111434,292.433960,-1559.551514,-59.912777
160,0,-0.087076,-0.095222,-0.201391,280.195618,-1566.764282,299.799011,-0.052519,0.063761,-0.341215,270.360168,-1522.671631,602.548279,-0.228516,-0.819504,-0.949291,34.228119,-1415.555664,54.312866,0.205800,-0.535073,-1.979762,116.813446,-1194.666138,47.977051,-0.088582,-0.131408,0.119782,96.790771,-1556.315918,291.528839,-0.099522,1.243162,0.051789,569.830566,-1654.490967,145.508286,-0.037374,1.542140,0.339481,644.554016,-1491.609619,-86.917656,-0.111319,-0.046040,-0.395125,431.789124,-1605.110718,306.691620,0.012743,-0.099277,-0.116481,291.390167,-1553.812256,-59.656651
