Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.001118147805853793,-0.036128102269295415,0.012042818562028827,259.106394730775,-1744.3194747752689,320.4709516977714,0.18898422314532087,0.05110185982259439,-0.18274123699385797,239.53981650011352,-1733.2915946690139,588.0781103816462,0.14971539888179464,0.11178043117702142,0.0412578608650757,-155.09404485522296,-1697.0008691863725,303.41597634606507,0.17627258797141168,-0.004336727000126204,0.07150518575713549,-428.7435868112843,-1725.8504813012605,330.8475206813426,-0.05980290053045034,-0.021575670918826194,0.1740149267105607,83.67840586255602,-1752.2646934320348,326.0740283909668,0.471210196657212,0.030114968542465464,0.01496912720399218,663.6233419571478,-1679.9387658933174,302.5346105746216,0.3628268740500839,0.19609962439560016,-0.01105379014877168,967.2742602326505,-1671.3423234876052,347.9493077768526,-0.05936054003979356,-0.01585093710785375,-0.06753679023585714,410.2907382008019,-1740.098615179849,317.4049480433814,-0.0019946818603090444,-0.057065567049112684,0.0940959862278217,245.22016882882778,-1723.4869385927527,-44.88721872118461
2,0,0.0010427844150168919,-0.036131542458351575,0.012030973701584595,259.1348947654996,-1744.3170704377465,320.4529554557618,0.18892730299234206,0.050873278386247514,-0.18310641038801442,239.5126095733089,-1733.2891957854697,588.0839004374169,0.15336684316848095,0.10816094225441103,0.040547445414323334,-154.89289537050817,-1696.8028580546327,303.38450372860893,0.17636252806577685,-0.004521765892266168,0.07104673540865386,-428.71359289822453,-1725.7254242283643,330.7794622798031,-0.059799727389213575,-0.02152815738093399,0.17403844882112182,83.7091489118373,-1752.2660627711696,326.0525782988303,0.4713646921056188,0.03019192695639185,0.014894376021584967,663.6476343320295,-1679.9409173689928,302.5718236205526,0.36291247454198544,0.19655409296555496,-0.011008321808656482,967.316497599378,-1671.3816395058336,348.0124203054735,-0.0593031006841788,-0.01587278097647441,-0.0675688688088311,410.31934632661563,-1740.1092093415311,317.4028965891279,-0.0017974397485810607,-0.05717130801723983,0.09410875227873478,245.26711967516025,-1723.470070204826,-44.897056588400446
3,0,0.0009682739538556395,-0.03613572931864757,0.012018939624445113,259.1640368587372,-1744.3147571465147,320.4350296897052,0.18887853969522256,0.05064357925606856,-0.18346741576542838,239.48599595384087,-1733.2871455245913,588.0895033208125,0.15697306124579488,0.10458301782244425,0.03984663633000324,-154.69292629311354,-1696.606005522166,303.3531148524896,0.1764507558757019,-0.004708338645564631,0.07059195208957181,-428.6833008315943,-1725.6003367008075,330.71102624817934,-0.05979799710739434,-0.02148337991433618,0.17406283080587498,83.74042789957323,-1752.2674852029813,326.0310189600751,0.4715130875187527,0.030283158747023475,0.014825249479411466,663.6711450485511,-1679.9441998168002,302.60955130061814,0.36299561763872173,0.1970016418452455,-0.01096387180201551,967.3592526019216,-1671.4215317470862,348.07690766799914,-0.059245093769240746,-0.01589428818124232,-0.06759903626132077,410.34864488957834,-1740.1197194014735,317.4008925880921,-0.001599766454866641,-0.057275454272815364,0.09412543552343194,245.31467121350764,-1723.4532967493453,-44.906926317448836
4,0,0.0008953836806835577,-0.036140647436385294,0.012006217789750561,259.1939327062635,-1744.3126468205098,320.4171947514454,0.1888394380212011,0.05041398456697517,-0.18382282252110307,239.46034067730633,-1733.2856735858204,588.0948267675143,0.16048348187948366,0.10108848077817045,0.0391589820291324,-154.49611998114952,-1696.412477985209,303.3215263780877,0.1765349767322011,-0.004895960141476812,0.07014503402622747,-428.6527795651862,-1725.4756964656156,330.6423307931303,-0.05979857358930077,-0.02144297022360371,0.17408809854909363,83.77222949043076,-1752.2690209331051,326.0093076796326,0.47165392819632646,0.030395526749711285,0.014765778825789127,663.6935211622059,-1679.9491080002301,302.64769446425726,0.36307544545850273,0.19743545461313736,-0.010920900941108314,967.4024141370061,-1671.4619961366623,348.1426637164225,-0.05918584865383088,-0.015915125866231797,-0.0676264852682523,410.378736250725,-1740.130220742267,317.3989037546609,-0.0014023222466530468,-0.057377023513620985,0.09414670685648419,245.36287301452063,-1723.436731288411,-44.916875329955005
5,0,0.0008247985852418438,-0.03614623211459126,0.011992324126839185,259.22468547873075,-1744.3108542171276,320.3994575383019,0.18881141429247736,0.05018584302833841,-0.1841716068608859,239.43603005352315,-1733.2850200167384,588.0997828528211,0.16385055261774667,0.09771661564270673,0.03848749775396876,-154.304334333393,-1696.2243213273127,303.2894546010817,0.1766130781462158,-0.0050837827393338305,0.06971008075271386,-428.6220972620368,-1725.3519963020635,330.5734754322965,-0.05980216490241858,-0.021408467231175652,0.17411421394277352,83.80454094413447,-1752.2707350745238,325.98739872221756,0.4717859791414004,0.030534966077963806,0.014719743296589982,663.7144650694055,-1679.9561174566445,302.68612303113673,0.3631512811396661,0.1978491269439904,-0.010879681286863499,967.4458770855317,-1671.5030223262809,348.209528294457,-0.0591245952240914,-0.01593498879557787,-0.06765051264242075,410.4097119683887,-1740.1408100907693,317.39689771126274,-0.0012057212171154939,-0.05747513390303386,0.09417311962924788,245.41177744015945,-1723.4204807236829,-44.92695522776957
6,0,0.0007571004992700614,-0.03615236507306556,0.01197680506090645,259.2563815300409,-1744.3094944718641,320.3818119002034,0.188795741551683,0.0499606389736561,-0.18451317284248872,239.41346632459783,-1733.2854295750424,588.1042903437883,0.167031156022537,0.09450309868314691,0.037834605046655145,-154.1192554781082,-1696.0434064320648,303.256628261825,0.17668320858745049,-0.005270554467942369,0.06929101409534566,-428.59132350753544,-1725.2297475941623,330.5045438897884,-0.059809284449230116,-0.021381262779274143,0.17414106546418912,83.83734625751585,-1752.272696245364,325.9652470316592,0.4719082663311439,0.03070617509839301,0.014690533088984095,663.7337477334679,-1679.9656676584884,302.7246700887689,0.3632226585017553,0.1982368599059558,-0.010840265340172149,967.489540407269,-1671.5445862762924,348.2772755268271,-0.0590604826010106,-0.015953610100766243,-0.06767055264914468,410.4416446644838,-1740.1516044377968,317.3948430785815,-0.0010105330936416167,-0.05756902994857691,0.09420507338437342,245.4614316102723,-1723.4046442459928,-44.93721958555121
7,0,0.0006927531814459179,-0.03615887274112294,0.011959250355093714,259.28908268296726,-1744.308680814726,320.3642395608301,0.18879348958278275,0.049739990926445085,-0.18484736055564066,239.39306067893895,-1733.2871457077717,588.1082769170957,0.1699877743627501,0.09147910576660491,0.03720208165206237,-153.94235955339104,-1695.8713848393268,303.22279953849664,0.17674384041311936,-0.005454600018406561,0.06889150140770825,-428.5605315507673,-1725.10948141769,330.4356073061786,-0.05982022145793545,-0.021362554401046237,0.17416846216065,83.87062201350876,-1752.2749749609395,325.9428116047425,0.4720201103512318,0.030912352608704393,0.014681025806463834,663.7512194254384,-1679.9781460926256,302.76312723445983,0.36328934116600997,0.19859362107390371,-0.010802465950102574,967.5333047204058,-1671.5866427421972,348.3456042334845,-0.05899260139470826,-0.015970769882089956,-0.06768620449029027,410.47458039198045,-1740.162739490739,317.39271036580607,-0.000817285932601314,-0.0576581033066029,0.09424278046092004,245.51186957765006,-1723.3893120661264,-44.94772184161377
8,0,0.0006320939360635632,-0.03616552743111663,0.011939302124359136,259.32281945991906,-1744.3085225318525,320.3467115063743,0.18880546140668875,0.04952563801322476,-0.1851744408625195,239.37522458843338,-1733.2904043139933,588.1116811764573,0.1726893631079503,0.08867062391796277,0.03659102199975791,-153.77488460342798,-1695.7096558454161,303.1877527057807,0.1767938141656779,-0.005633827964417177,0.06851488252283273,-428.52980043609085,-1724.9917465574683,330.36672749061063,-0.05983502263889147,-0.021353306988862494,0.1741961316613623,83.90433313637678,-1752.2776418496005,325.92005834957064,0.47212115070556254,0.031154993774326855,0.014693481568212744,663.7668174486403,-1679.993873879771,302.80124152555095,0.36335132997766945,0.1989152670820787,-0.010765848247538701,967.577069510966,-1671.6291179913756,348.4141311813862,-0.05892000910956388,-0.01598630136062145,-0.06769725280599788,410.50853187387366,-1740.1743676736185,317.39047261439384,-0.0006264693259412267,-0.057741907763729186,0.09428623694351486,245.56310511095165,-1723.3745644484684,-44.95851338399332
9,0,0.0005753318887260821,-0.036172051527324826,0.011916659640298732,259.35758558116993,-1744.3091232217216,320.3291897627692,0.18883212848897346,0.04931941357466507,-0.18549509584204102,239.36035954387165,-1733.2954274714189,588.1144544003042,0.1751119177538441,0.08609797763183175,0.03600180937562921,-153.61781282836313,-1695.5593453462736,303.15131013137295,0.17683236281663134,-0.005805766363982136,0.06816410184430634,-428.49921689581066,-1724.8771040646116,330.29795991699575,-0.05985348643901989,-0.021354224554378267,0.17422372266845615,83.93842878206807,-1752.2807657329195,325.8969622916857,0.47221135942468084,0.03143375541732418,0.014729461490227698,663.7805704299415,-1680.0130935210386,302.83871434431524,0.3634088582830765,0.19919862428493926,-0.010729734089760226,967.6207301514052,-1671.6719030733605,348.4823877824782,-0.058841758129245164,-0.01600009449070712,-0.06770368052097173,410.54347295157277,-1740.1866556954878,317.38810576454233,-0.00043853774032956536,-0.057820167970856054,0.09433519938585389,245.61512544263894,-1723.3604710573723,-44.96964191042011
