Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.031836,-0.036636,0.027705,91.665894,-1696.445557,330.986908,0.187834,0.062023,0.086150,101.562523,-1693.431152,594.589050,0.290609,0.065315,0.077967,-322.657837,-1664.703857,310.635925,0.197337,0.017051,0.157542,-595.653687,-1711.737305,341.981720,-0.087330,-0.035623,0.234078,-85.599609,-1711.838501,335.456665,0.505604,0.016103,-0.000429,490.970520,-1632.416626,314.367584,0.381222,0.179934,-0.099167,791.296997,-1637.453247,361.044922,-0.058503,-0.020707,-0.026540,241.451248,-1689.117188,329.461212,-0.018388,-0.055917,0.134149,78.031769,-1688.100952,-34.327610
2,0,-0.031723,-0.036929,0.027706,91.611603,-1696.412720,331.011749,0.191917,0.065717,0.098973,103.612938,-1693.610718,593.901306,0.290618,0.065296,0.077971,-322.618622,-1664.673584,310.666229,0.195745,0.017279,0.157233,-595.613159,-1711.821777,342.032745,-0.087765,-0.035772,0.233656,-85.620842,-1711.706909,335.462372,0.505634,0.015804,-0.000357,490.954010,-1632.478271,314.414185,0.380903,0.182114,-0.097779,791.654846,-1637.798462,361.505890,-0.058807,-0.020935,-0.026642,241.420135,-1689.089722,329.459839,-0.018008,-0.056223,0.133784,78.022308,-1688.098022,-34.327385
3,0,-0.032238,-0.037214,0.027456,91.586952,-1696.347656,330.989655,0.195730,0.070403,0.112842,105.815582,-1693.753906,593.208069,0.289592,0.067145,0.079549,-322.713348,-1664.708618,310.700500,0.195772,0.015874,0.157042,-595.582764,-1711.941772,342.093414,-0.087043,-0.035082,0.233102,-85.574173,-1711.645264,335.534332,0.505022,0.015596,-0.000047,490.927551,-1632.570679,314.431549,0.379582,0.179056,-0.099615,791.486389,-1637.804321,361.563629,-0.058809,-0.021194,-0.026880,241.393005,-1689.069214,329.487396,-0.018113,-0.055902,0.133504,78.020508,-1688.098511,-34.336643
4,0,-0.032105,-0.037132,0.026969,91.618919,-1696.306030,331.013580,0.201761,0.073341,0.128534,108.079323,-1693.910156,592.466309,0.288883,0.068050,0.079928,-322.719513,-1664.735107,310.743408,0.195063,0.018541,0.158176,-595.533875,-1712.003784,342.118073,-0.086843,-0.034769,0.233089,-85.555557,-1711.564575,335.569550,0.504058,0.015420,-0.000343,490.917023,-1632.662842,314.462494,0.379032,0.180870,-0.098664,791.552979,-1637.825195,361.748199,-0.059130,-0.021144,-0.026513,241.368652,-1689.026245,329.478943,-0.017580,-0.056071,0.133261,78.005310,-1688.102417,-34.327396
5,0,-0.032607,-0.036889,0.027217,91.612541,-1696.250488,331.009979,0.207183,0.079188,0.145192,110.434990,-1694.082153,591.765076,0.289730,0.066871,0.078815,-322.590332,-1664.664551,310.819641,0.196530,0.018570,0.158710,-595.499268,-1712.113525,342.184113,-0.085185,-0.035486,0.232218,-85.555710,-1711.585938,335.643250,0.503699,0.015917,-0.000065,490.852570,-1632.710327,314.521851,0.378570,0.180278,-0.098753,791.508606,-1637.852051,361.883270,-0.059185,-0.020718,-0.026315,241.396057,-1688.988770,329.489807,-0.017807,-0.055761,0.133490,77.996544,-1688.096191,-34.335167
6,0,-0.032567,-0.036897,0.027123,91.637260,-1696.212769,331.028931,0.212099,0.083740,0.160991,112.835403,-1694.169067,591.009155,0.289765,0.067450,0.078596,-322.570923,-1664.682495,310.895477,0.195636,0.017522,0.159051,-595.445068,-1712.150635,342.234558,-0.086740,-0.034955,0.232040,-85.518532,-1711.447510,335.633881,0.502443,0.015171,-0.000139,490.873047,-1632.801025,314.559998,0.377802,0.177794,-0.101539,791.435730,-1637.904907,362.091064,-0.059529,-0.020992,-0.026035,241.385712,-1688.908325,329.492554,-0.017913,-0.055868,0.133448,77.996078,-1688.095093,-34.330807
7,0,-0.032136,-0.037103,0.027040,91.639343,-1696.207764,331.090851,0.217806,0.087038,0.175545,115.267906,-1694.242310,590.193787,0.289674,0.068706,0.079498,-322.595001,-1664.767212,310.979095,0.195546,0.013528,0.159066,-595.411682,-1712.234375,342.304443,-0.087667,-0.035684,0.230965,-85.532784,-1711.322144,335.606689,0.502346,0.014088,-0.000830,490.921082,-1632.806152,314.635864,0.376804,0.177403,-0.102292,791.391357,-1637.951904,362.227295,-0.059279,-0.020752,-0.026678,241.443405,-1688.875610,329.540497,-0.017882,-0.055857,0.133540,78.010429,-1688.087646,-34.305439
8,0,-0.033246,-0.037242,0.027330,91.626785,-1696.107666,331.035645,0.222955,0.092380,0.192671,117.713387,-1694.288086,589.399475,0.292291,0.064831,0.077140,-322.320221,-1664.635864,311.069641,0.195449,0.011015,0.158444,-595.350891,-1712.228394,342.355835,-0.086601,-0.034818,0.231453,-85.467751,-1711.357422,335.686188,0.501720,0.015294,-0.000787,490.810028,-1632.839844,314.722931,0.376103,0.176184,-0.103569,791.349243,-1638.028198,362.352234,-0.059528,-0.020752,-0.025977,241.423676,-1688.797852,329.553589,-0.018088,-0.055995,0.132824,78.037865,-1688.069458,-34.283630
9,0,-0.033215,-0.036857,0.027906,91.635658,-1696.075806,331.059204,0.229840,0.099300,0.211516,120.102982,-1694.355957,588.626099,0.291723,0.065554,0.077390,-322.334412,-1664.691528,311.183502,0.195531,0.011914,0.158836,-595.310181,-1712.316895,342.480499,-0.084823,-0.035755,0.230404,-85.469223,-1711.386719,335.738831,0.502482,0.016227,-0.001438,490.729126,-1632.790527,314.845764,0.375935,0.174518,-0.104028,791.321472,-1638.117310,362.443634,-0.059311,-0.021246,-0.026067,241.417099,-1688.728149,329.598450,-0.018500,-0.055847,0.133272,78.041557,-1688.059204,-34.277939
